player_id,player_name,positions,interceptions_lost,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
calvin-fance,Calvin Fance,RB,,,,,,,,2.0
carlton-brown,Carlton Brown,RB,,,,1.0,39.0,2.0,2.0,23.0
deshon-williams,Deshon  Williams,WR/TE,,,,,14.0,1.0,,-1.0
jordon-gandy,Jordon Gandy,WR,,,,,13.0,3.0,,
josh-meier,Josh Meier,WR,,,,,18.0,3.0,,
ledarian-mcallister,Ledarian Mcallister,WR,,,,2.0,37.0,6.0,,
nashville-qb,NASHVILLE QB,QB,,6.0,225.0,,,,1.0,5.0
washington-qb,WASHINGTON QB,QB,4.0,3.0,143.0,,,,,-4.0
