player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_td,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_td,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_conv,score_ir,score_p,score_pr,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
kenzel-doe,Kenzel Doe,WR,,,,,,,,,,,,,,,,,13.0,1.0,1.0,,5.0,13.0,35.0,5.0,,,,105.0,,,,,,,,,,,,,,,,,
lemar-durant,Lemar Durant,WR,,,,,,,,,,,,,,,,,26.0,1.0,3.0,,18.0,26.0,,,,,,,,,,,,,,,,,,,,,,,
marcell-young,Marcell Young,DB,,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marquay-mcdaniel,Marquay McDaniel,WR,,,,,,,,,,,,,,,,,53.0,4.0,4.0,,18.0,67.0,,,,,,,,,,,,,,,,,,,,,,,
micah-johnson,Micah Johnson,DB/DL,,,1.0,4.0,,4.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
michael-buchanan,Michael Buchanan,DB/DE,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mike-reilly,Mike Reilly,QB,,,,,,,,,36.0,23.0,2.0,,23.0,4.0,1.0,219.0,,,,,,,,,,,,,7.0,,1.0,46.0,,,,,6.0,1.0,1.0,,,,,,
nate-coehoorn,Nate Coehoorn,WR,,,,,,,,,,,,,,,,,13.0,2.0,4.0,,,21.0,,,,,,,,,,,,,,,,,,,,,,,
neil-king,Neil King,DB,,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pat-watkins,Pat Watkins,DB,,,,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quinn-smith,Quinn Smith,OL,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rene-paredes,René Paredes,K,,,,,,,,,,,,,,,,,,,,,,,93.0,6.0,5.0,105.0,,398.0,,,,,,,,,13.0,,,3.0,3.0,33.0,12.0,3.0,3.0
rob-maver,Rob Maver,P/K,,,,,,,,,,,,,,,,,,,,,,,63.0,5.0,5.0,47.0,,267.0,,,,,,,,,,,,,,,,,
roy-finch,Roy Finch,RB,,,,,,,,,,,,,,,,,,,,,,,37.0,3.0,,,1.0,81.0,,,,,,,,1.0,6.0,,1.0,,,,,,
sean-whyte,Sean WHYTE,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,3.0,3.0,3.0
taylor-reed,Taylor Reed,LB,,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tommie-campbell,Tommie Campbell,DB,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
