player_id,player_name,positions,assisted_tackles,blocks,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,qb_hits,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
aaron-aiken,Aaron Aiken,QB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
anthony-lamar-dixon,Anthony Lamar Dixon,DB,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
asi-tupua,Asi Tupua,DL,0.0,,,,,,,,,,,,,,,1.0,,,,,,,8.0,8.0,0.0,8.0,,,,,,,,11.5,23.0,1.0,46.0,4.0,-2.0,0.0,1.0,0.0,-2.0,,,1.0,1.0,,,,
brandon-munoz,Brandon Munoz,DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,4.0,5.0,1.0,5.0,,
bryce-holliday,Bryce Holliday,QB,0.0,,,,,,,,,1.0,1.0,,,,2.0,,0.0,,,,,,,,,,22.0,15.0,,19.0,3.0,153.0,,5.0,5.0,0.0,5.0,1.0,5.4,21.0,9.0,1.0,49.0,,,1.0,1.0,,,0.0,0.0
cameron-mccauley,Cameron McCauley,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,19.0,1.0,19.0,1.0,,,,,,,,,,,,,
carlton-watkins,Carlton Watkins,DB,,,,,3.0,36.0,1.0,,,,,,,,,,7.0,55.6,3.0,1.0,500.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.0
damion-barber,Damion Barber,DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,3.0,4.0,,,,
darius-meadors,Darius Meadors,RB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
david-calderon,David  Calderon,RB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,1.0,2.0,,
devante-wright,Devante Wright,DL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,5.0,2.0,0.0,5.0,,,,,,,,
devin-groenhagen,Devin Groenhagen,DL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,14.0,3.0,0.0,15.0,,,2.0,3.0,,,,
dontae-mason,Dontae Mason,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,
drew-prohaska,Drew Prohaska,RB,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,20.0,8.0,,35.0,3.0,141.0,,,,,,,7.2,24.0,13.0,4.0,93.0,,,,,,,0.0,0.0
isaiah-lewis,Isaiah Lewis,DB/DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
jd-griggs,JD Griggs,DL,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,0.5,1.0,,
jadon-johnson,Jadon Johnson,WR,,,,,,,,,,,,,,,,1.0,,,,,,,12.0,12.0,0.0,12.0,,,,,,,,32.5,35.0,2.0,65.0,2.0,,,,,,,,,,,,,
jalen-hicks,Jalen Hicks,DB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.5,2.0,5.0,0.5,5.0,,
javian-byrd,Javian Byrd,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,3.0,,,,
javon-hayes,Javon Hayes,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
jeremiah-flores,Jeremiah Flores,WR,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,22.0,0.0,30.0,2.0,,,,,,,,0.0,2.0,,,,
john-westor,John Westor,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,2.0,2.0,2.0,7.0,,
kenttwon-brown,Kenttwon Brown,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,17.0,1.0,55.0,5.0,6.0,6.0,1.0,0.0,6.0,,,1.0,1.0,,,,
kewan-alfred,Kewan Alfred,DL/LB,4.0,,1.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,9.0,,,,
khalil-finley,Khalil Finley,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
marcus-gray,MARCUS GRAY,G,,,,,1.0,0.0,0.0,,,,,,,,,,4.0,57.4,4.0,1.0,402.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0
malcolm-mccoy,Malcolm Mccoy,LB,5.0,,1.0,0.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,7.0,,,,
