player_id,player_name,positions,1pt_conversion,conversions,dst_touchdown,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
aidan-robbins,Aidan Robbins,RB,,,,,,,,,,,,0.0,7.0,1.0,0.0,24.0,
alize-mack,Alize Mack,TE,,,,,,,,,,,,0.0,0.0,0.0,,,
battlehawks-dst,Battlehawks DST,DST,,,1.0,,1.0,,0.0,,,,13.0,,,,,,1.0
battlehawks-k,Battlehawks K,K,,,,44.0,,,,,,,,,,,,,
battlehawks-qb,Battlehawks QB,QB,,1.0,,,,0.0,,,2.0,233.0,,,,,0.0,2.0,
blake-jackson,Blake Jackson,WR,,,,,,,,,,,,0.0,42.0,2.0,,,
brahmas-dst,Brahmas DST,DST,,,,,1.0,,0.0,,,,33.0,,,,,,0.0
brahmas-k,Brahmas K,K,,,,59.0,,,,,,,,,,,,,
brahmas-qb,Brahmas QB,QB,,,,,,0.0,,,0.0,103.0,,,,,0.0,20.0,
brandon-silvers,Brandon Silvers,QB,,1.0,,,,0.0,,,1.0,100.0,,,,,0.0,-4.0,
dee-anderson,Dee Anderson,WR,,,,,,,,,,,,0.0,12.0,2.0,,,
frank-darby,Frank Darby,WR,,,,,,,,1.0,,,,1.0,23.0,2.0,,,
gary-jennings,Gary Jennings,WR,,,,,,,,,,,,0.0,0.0,0.0,0.0,8.0,
greg-ward,Greg Ward,WR,,,,,,,,,,,,0.0,5.0,1.0,,,
hakeem-butler,Hakeem Butler,WR,,,,,,,,,,,,1.0,66.0,5.0,,,
jacob-harris,Jacob Harris,WR,,,,,,,,,,,,0.0,9.0,1.0,,,
jacob-saylors,Jacob Saylors,RB,,,,,,,,,,,,0.0,15.0,2.0,0.0,33.0,
jaden-shirden,Jaden Shirden,RB,,,,,,,,,,,,0.0,0.0,0.0,0.0,10.0,
jahcour-pearson,Jahcour Pearson,WR,,1.0,,,,,,,,,,0.0,71.0,6.0,,,
jake-sutherland,Jake Sutherland,WR/TE,,,,,,,,,,,,0.0,7.0,1.0,,,
jarveon-howard,Jarveon Howard,RB,,,,,,,,,,,,0.0,9.0,1.0,1.0,60.0,
jashaun-corbin,Jashaun Corbin,RB,1.0,,,,,,,1.0,,,,0.0,6.0,1.0,1.0,85.0,
jontre-kirklin,Jontre Kirklin,WR,,,,,,,,,,,,0.0,44.0,5.0,,,
kellen-mond,Kellen Mond,QB,,,,,,0.0,,,0.0,103.0,,,,,0.0,20.0,
kevon-latulas,Kevon Latulas,RB,1.0,,,,,,,,,,,,,,1.0,66.0,
marquez-stevenson,Marquez Stevenson,WR,,,,,,,,,,,,0.0,20.0,3.0,,,
max-duggan,Max Duggan,QB,,,,,,0.0,,,1.0,133.0,,,,,0.0,6.0,
rodrigo-blankenship,Rodrigo Blankenship,K,,,,44.0,,,,,,,,,,,,,
tristan-vizcaino,Tristan Vizcaino,K,,,,59.0,,,,,,,,,,,,,
