player_id,player_name,positions,def_sack,def_solo,def_tot,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_p,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
ahmad-thomas,Ahmad Thomas,DB/LB,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
almondo-sewell,Almondo Sewell,DT/DB,1.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bj-cunningham,B.J. Cunningham,WR,,,,,,,,,,,,,19.0,4.0,4.0,,13.0,48.0,,,,,,,,,,,,,,,,,,,
chris-ackie,Chris Ackie,DB/LB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
david-côté,David Côté,K,,,,,,,,,,,,,,,,,,,65.0,4.0,4.0,77.0,200.0,,,,,,9.0,,,2.0,2.0,38.0,9.0,3.0,3.0
david-ménard,David Ménard,DB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eugene-lewis,Eugene LEWIS,WR,,1.0,1.0,,,,,,,,,,27.0,8.0,12.0,1.0,30.0,112.0,,,,,,,,,,1.0,6.0,,1.0,,,,,,
greg-reid,Greg Reid,DB,,8.0,8.0,,,,,,,,,,,,,,,,24.0,1.0,,,24.0,,,,,,,,,,,,,,
jake-wieneke,Jake Wieneke,WR,,2.0,2.0,,,,,,,,,,49.0,6.0,9.0,1.0,42.0,117.0,,,,,,,,,,1.0,6.0,,1.0,,,,,,
jeshrun-antwi,Jeshrun ANTWI,RB,,,,,,,,,,,,,,,,,,,,,,,,1.0,7.0,,7.0,,,,,,,,,,
joe-zema,Joe Zema,DB,,,,,,,,,,,,,,,,,,,51.0,3.0,3.0,14.0,139.0,,,,,,,,,,,,,,
kaion-julien-grant,Kaion JULIEN-GRANT,WR,,,,,,,,,,,,,9.0,2.0,3.0,,9.0,18.0,,,,,,,,,,,,,,,,,,,
michael-wakefield,Michael Wakefield,DB/DL,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monshadrik-hunter,Monshadrik Hunter,DB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nick-usher,Nick Usher,DB/DL,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
patrick-levels,Patrick Levels,DB/LB,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quan-bray,Quan Bray,RB/WR,,,,,,,,,,,,,16.0,6.0,7.0,,22.0,66.0,,,,,,,,,,,,,,,,,,,
rashad-ross,Rashad Ross,WR,,,,,,,,,,,,,,,,,,,29.0,5.0,,,105.0,,,,,,,,,,,,,,
ty-cranston,Ty Cranston,DB,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyquwan-glass,Tyquwan Glass,DB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vernon-adams,Vernon Adams,QB,,,,,39.0,30.0,2.0,49.0,9.0,2.0,2.0,382.0,,,,,,,,,,,,5.0,25.0,,38.0,,,,,,,,,,
william-stanback,William STANBACK,RB,,,,,,,,,,,,,9.0,4.0,4.0,,16.0,21.0,,,,,,19.0,23.0,1.0,133.0,,6.0,1.0,1.0,,,,,,
woody-baron,Woody Baron,DB/DL,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
