player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
aj-brown,A.J. Brown,WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,
alex-steiner,Alex Steiner,K,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
anthony-jacobsen,Anthony Jacobsen,LB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
arnell-anderson,Arnell Anderson,LB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
ashton-henry,Ashton Henry,K,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,3.0,6.0,,,,
axel-perez,Axel Perez,K,,,,1.0,21.0,1.0,,,,,,,,,,10.0,44.6,0.0,6.0,357.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0
cam-hale-ii,Cam Hale II,RB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.3,12.0,1.0,28.0,3.0,2.5,4.0,2.0,0.0,5.0,1.0,1.0,,,,
daniel-byse,DANIEL BYSE,RB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,
damian-francis,Damian Francis,ATH,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.5,0.0,,
devond-blair-jr,Devond Blair Jr.,WR,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6.0,1.0,0.0,,
devonte-omalley,Devonte O\'MALLEY,DL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,
dontrell-lucky-morrison,"Dontrell ""Lucky"" Morrison",DL,1.0,,,,,,,,,,,,,,2.0,,,,,,,6.0,6.0,0.0,12.0,,,,,,,,,,,,,,,,,4.0,5.0,,,,
ed-smith-jr,Ed Smith Jr.,WR,,,,,,,,,,,,,,,1.0,,,,,,,16.0,16.0,0.0,16.0,,,,,,,,,,,,,,,,,,,,,,
jahoiyakim-afoa,Jahoiyakim Afoa,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,0.0,6.0,1.0,,,,,,,,,,,
jai-jones,Jai Jones,LB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,7.0,9.0,,,,
james-pitre,James Pitre,WR,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
jayvon-johnson,Jayvon Johnson,LB,1.0,,,,,,,,,,,,,,1.0,,,,,,,31.0,31.0,0.0,31.0,,,1.0,,,,10.0,15.0,0.0,30.0,3.0,4.8,26.0,12.0,3.0,58.0,0.0,1.0,,,,
