player_id,player_name,positions,def_sack,def_solo,def_tot,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_yds,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_yds,score_pts,stat_fga,stat_fgm,stat_lg,stat_pts
ac-leonard,A.C. Leonard,DL/DB,1.0,5.0,5.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,
anthony-cioffi,Anthony Cioffi,DB/SAF/LB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
antoine-pruneau,Antoine Pruneau,DB,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
austen-hartley,Austen Hartley,WR,,,,,,,,,,,,11.0,1.0,1.0,5.0,11.0,,,,,,,,,,,,,
avery-ellis,Avery Ellis,DL/DE/DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
brad-sinopoli,Brad Sinopoli,WR,,,,,,,,,,,,15.0,4.0,4.0,15.0,37.0,,,,,,,,,,,,,
brendan-gillanders,Brendan Gillanders,RB,,,,,,,,,,,,,,1.0,,,,,,,,1.0,2.0,2.0,,,,,
corey-tindal,Corey Tindal,DB,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
danny-collins,Danny Collins,QB,,1.0,1.0,,7.0,3.0,1.0,19.0,,,41.0,,,,,,,,,,,2.0,10.0,12.0,,,,,
danny-mason,Danny Mason,DL/DB,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
diontae-spencer,Diontae Spencer,WR,,,,,,,,,,,,12.0,4.0,8.0,6.0,26.0,22.0,2.0,,,44.0,,,,,,,,
dominique-davis,Dominique Davis,QB,,,,,2.0,,,,8.0,2.0,,,,,,,,,,,,1.0,4.0,4.0,,,,,
greg-ellingson,Greg Ellingson,WR,,2.0,2.0,,,,,,,,,14.0,3.0,4.0,7.0,26.0,,,,,,,,,,,,,
jean-christophe-beaulieu,Jean-Christophe Beaulieu,RB/FB,,,,,,,,,,,,3.0,1.0,1.0,,3.0,,,,,,,,,,,,,
jonathan-rose,Jonathan Rose,DB,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
josh-johnson,Josh Johnson,DB,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
julian-feoli-gudino,Julian Feoli-Gudino,WR,,,,,,,,,,,,19.0,2.0,3.0,3.0,30.0,,,,,,,,,,,,,
kevin-brown,Kevin BROWN,RB,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
kyries-hebert,Kyries Hebert,LB,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
lewis-ward,Lewis Ward,K,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,1.0,11.0,3.0
loucheiz-purifoy,Loucheiz Purifoy,DB,,4.0,4.0,,,,,,,,,,,,,,18.0,2.0,,,35.0,,,,,,,,
michael-klassen,Michael Klassen,DL/DB,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
noel-thomas,Noel Thomas,WR,,,,,,,,,,,,5.0,1.0,4.0,,5.0,,,,,,,,,,,,,
rj-harris,R.J. Harris,WR,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
richie-leone,Richie Leone,K,,,,,,,,,,,,,,,,,64.0,2.0,2.0,34.0,123.0,,,,,,,,
rico-murray,Rico Murray,DB/LB,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
trevor-harris,Trevor HARRIS,QB,,,,,22.0,14.0,2.0,15.0,11.0,2.0,93.0,,,,,,,,,,,1.0,,,,,,,
william-powell,William Powell,RB,,,,,,,,,,,,-4.0,1.0,4.0,-4.0,-4.0,,,,,,8.0,5.0,17.0,,,,,
