player_id,player_name,positions,conversions,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
aidan-robbins,Aidan Robbins,RB,,,,,,1.0,,,,,0.0,2.0,1.0,0.0,-1.0,
amari-rodgers,Amari Rodgers,WR,,,,,,,,,,,1.0,55.0,3.0,,,
andrew-peasley,Andrew Peasley,QB,,,,0.0,,1.0,,0.0,79.0,,,,,0.0,10.0,
anthony-mcfarland-jr,Anthony McFarland Jr,RB,,,,,,,,,,,,,,0.0,6.0,
brahmas-dst,Brahmas DST,DST,,,1.0,,0.0,,,,,26.0,,,,,,4.0
brahmas-k,Brahmas K,K,,26.0,,,,,1.0,,,,,,,,,
brahmas-qb,Brahmas QB,QB,,,,1.0,,,,0.0,179.0,,,,,0.0,8.0,
cj-marable,CJ Marable,RB,,,,,,,,,,,0.0,0.0,0.0,0.0,26.0,
cade-johnson,Cade Johnson,WR,,,,,,,,,,,0.0,61.0,5.0,,,
case-cookus,Case Cookus,QB,1.0,,,0.0,,,,2.0,166.0,,,,,0.0,16.0,
davion-davis,Davion Davis,WR,,,,,,,,,,,0.0,4.0,1.0,,,
dee-anderson,Dee Anderson,WR,,,,,,,,,,,0.0,47.0,5.0,,,
deon-cain,Deon Cain,WR,,,,,,,,,,,0.0,46.0,2.0,,,
harrison-mevis,Harrison Mevis,K,,99.0,,,,,,,,,,,,,,
jace-sternberger,Jace Sternberger,TE,,,,,,,,,,,1.0,15.0,2.0,,,
jacob-harris,Jacob Harris,WR,,,,,,,,,,,0.0,0.0,0.0,,,
jalen-camp,Jalen Camp,WR,,,,,,,,,,,0.0,4.0,1.0,,,
jashaun-corbin,Jashaun Corbin,RB,,,,,,,,,,,0.0,18.0,3.0,0.0,14.0,
jontre-kirklin,Jontre Kirklin,WR,,,,,,,,,,,0.0,0.0,0.0,,,
jordan-thomas-2,Jordan Thomas,TE,1.0,,,,,,,,,,0.0,8.0,1.0,,,
kevin-hogan,Kevin Hogan,QB,,,,1.0,,,,0.0,179.0,,,,,0.0,8.0,
marcus-baugh,Marcus Baugh,WR/TE,,,,,,,,,,,0.0,5.0,1.0,,,
marlon-williams,Marlon Williams,WR,,,,,,,,,,,0.0,37.0,3.0,,,
marquez-stevenson,Marquez Stevenson,WR,,,,,,,,,,,0.0,40.0,4.0,0.0,-3.0,
rashaun-henry,Ra\'Shaun Henry,WR,,,,,,,,,,,0.0,3.0,1.0,,,
ricky-person-jr,Ricky Person Jr.,RB,,,,,,,,,,,0.0,10.0,2.0,1.0,32.0,
stallions-dst,Stallions DST,DST,,,1.0,,1.0,,,,,3.0,,,,,,3.0
stallions-k,Stallions K,K,,99.0,,,,,,,,,,,,,,
stallions-qb,Stallions QB,QB,1.0,,,0.0,,1.0,,2.0,245.0,,,,,0.0,26.0,
steven-stilianos,Steven Stilianos,TE,,,,,,,,,,,0.0,8.0,3.0,,,
tristan-vizcaino,Tristan Vizcaino,K,,26.0,,,,,1.0,,,,,,,,,
