player_id,player_name,positions,def_ast,def_solo,def_tot,recv_fd,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds
derel-walker,Derel Walker,WR,,,,1.0,15.0,1.0,3.0,12.0,15.0
jeff-knox-jr,Jeff Knox Jr.,LB,1.0,1.0,2.0,,,,,,
mariel-cooper,Mariel Cooper,DB,,2.0,2.0,,,,,,
