player_id,player_name,positions,assists,blocks,callahans,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
alec-wilson-holliday,Alec Wilson Holliday,P,2.0,1.0,,17.0,10.0,1.0,6.0,2.0,,,11.0,1.0,337.0,52.0
ben-price,Ben Price,P,1.0,,,12.0,13.0,,,,1.0,,15.0,2.0,116.0,67.0
brooks-wallace,Brooks Wallace,P,1.0,2.0,,15.0,16.0,,1.0,4.0,1.0,,17.0,,164.0,147.0
chris-casella,Chris Casella,P,1.0,,,13.0,22.0,,2.0,,1.0,,24.0,2.0,111.0,124.0
christian-parker,Christian Parker,P,,,,4.0,3.0,,,,,2.0,4.0,1.0,10.0,54.0
connor-deluna,Connor DeLuna,P,,1.0,,4.0,2.0,1.0,2.0,,,,3.0,1.0,76.0,19.0
daniel-welkener,Daniel Welkener,P,,,,7.0,4.0,,,,,,7.0,3.0,102.0,36.0
daniel-winter,Daniel Winter,P,,,,4.0,2.0,,1.0,,,,3.0,1.0,62.0,3.0
elliott-moore,Elliott Moore,P,5.0,,,18.0,22.0,,1.0,1.0,,,22.0,,93.0,125.0
emmanuel-kameri,Emmanuel Kameri,P,,1.0,,5.0,5.0,,,1.0,,1.0,6.0,1.0,55.0,4.0
eric-brodbeck,Eric Brodbeck,P,1.0,,,13.0,13.0,,1.0,2.0,1.0,,14.0,1.0,85.0,154.0
eric-carter,Eric Carter,P,,,,3.0,4.0,,,2.0,1.0,,4.0,,11.0,69.0
evan-swiatek,Evan Swiatek,P,2.0,,,18.0,16.0,,3.0,1.0,1.0,,16.0,,270.0,49.0
griffin-miller,Griffin Miller,P,2.0,1.0,,19.0,25.0,,,,1.0,,27.0,2.0,-6.0,277.0
jack-wooldridge,Jack Wooldridge,P,,,,8.0,10.0,,,1.0,,4.0,10.0,,65.0,84.0
jackson-potts,Jackson Potts,P,,2.0,,14.0,11.0,1.0,2.0,2.0,,14.0,14.0,3.0,171.0,26.0
jake-floyd,Jake Floyd,P,2.0,1.0,,16.0,19.0,,1.0,1.0,1.0,2.0,21.0,2.0,132.0,190.0
jake-radack,Jake Radack,P,1.0,,,39.0,36.0,1.0,,,2.0,,41.0,5.0,23.0,400.0
jason-hustad,Jason Hustad,P,3.0,1.0,,33.0,31.0,,1.0,,2.0,,39.0,7.0,172.0,334.0
joey-wylie,Joey Wylie,P,3.0,1.0,,17.0,13.0,,1.0,,,,16.0,1.0,147.0,174.0
john-dowling,John Dowling,P,,,,4.0,2.0,,,,,,4.0,1.0,43.0,25.0
joseph-welkener,Joseph Welkener,P,2.0,1.0,,10.0,11.0,,,,,,13.0,2.0,81.0,74.0
joshua-zdrodowski,Joshua Zdrodowski,P,,,,6.0,4.0,,1.0,,,8.0,5.0,1.0,42.0,30.0
kyle-henke,Kyle Henke,P,1.0,1.0,1.0,19.0,20.0,,1.0,5.0,,3.0,20.0,,193.0,210.0
mark-evans,Mark Evans,P,1.0,1.0,,21.0,22.0,1.0,2.0,2.0,,1.0,24.0,2.0,246.0,113.0
mark-henke,Mark Henke,P,2.0,1.0,,13.0,12.0,,3.0,2.0,,,12.0,,57.0,88.0
mason-wuensch,Mason Wuensch,P,,,,16.0,12.0,2.0,1.0,1.0,,,15.0,3.0,67.0,34.0
matthew-armour,Matthew Armour,P,1.0,3.0,,12.0,14.0,,1.0,1.0,,,16.0,1.0,42.0,79.0
mick-walter,Mick Walter,P,,1.0,,5.0,5.0,,2.0,1.0,,,5.0,,126.0,28.0
nick-loughran,Nick Loughran,P,1.0,,,7.0,6.0,,1.0,,,,6.0,,41.0,59.0
noah-chambers,Noah Chambers,P,1.0,,,10.0,10.0,,,2.0,1.0,,10.0,,63.0,140.0
reese-bowman,Reese Bowman,P,3.0,1.0,,13.0,15.0,,1.0,,1.0,1.0,17.0,2.0,231.0,170.0
robert-hausmann,Robert Hausmann,P,1.0,,,3.0,2.0,1.0,1.0,,,,2.0,,55.0,4.0
ryan-buckingham,Ryan Buckingham,P,,2.0,,5.0,5.0,,,,,1.0,5.0,,52.0,14.0
samuel-roberts,Samuel Roberts,P,1.0,1.0,,17.0,24.0,,,1.0,,2.0,28.0,2.0,25.0,125.0
shane-worthington,Shane Worthington,P,,1.0,,9.0,8.0,,2.0,1.0,,,9.0,1.0,62.0,48.0
timothy-mosher,Timothy Mosher,P,,,,5.0,5.0,,,,,,6.0,1.0,-13.0,25.0
willy-goal,Willy Goal,P,,,,2.0,2.0,,,,,,2.0,,9.0,41.0
