player_id,player_name,positions,assist_tackles,completions,fg_20_29,fg_30_39,fg_att_game,int_long,int_tds,int_yards,interceptions_lost,interceptions_made,kick_returns,kr_long,kr_yards,pass_attempts,passing_tds,passing_yards,pr_long,pr_yards,punt_avg,punt_long,punt_returns,punt_yards,punts,punts_blocked,punts_in20,receiving_tds,receiving_yards,receptions,rush_attempts,rushing_yards,sacks,solo_tackles,tackles,targets
aj-hendy,A.J. Hendy,FS/DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,
andrew-soroh,Andrew Soroh,S/SAF/DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,
anthony-johnson,Anthony Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,3.0,3.0,
antwione-williams,Antwione Williams,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
austin-duke,Austin Duke,WR,,,,,,,,,,,5.0,18.0,67.0,,,,6.0,4.0,,,2.0,,,,,,,,,,,,,
ben-heeney,Ben Heeney,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,
brian-khoury,Brian Khoury,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
bryce-jones,Bryce Jones,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,
bunmi-rotimi,Bunmi Rotimi,DL/OLB/DT/DB,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,7.0,
cardale-jones,Cardale Jones,QB,,23.0,,,,,,,1.0,,,,,37.0,2.0,264.0,,,,,,,,,,,,,1.0,14.0,,,,
carlos-merritt,Carlos Merritt,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,
cavon-walker,Cavon Walker,DE/DB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,
colby-pearson,Colby Pearson,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1.0,,,,,,
dc-defenders,DC Defenders,,,,,,,9.0,27.0,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,
djuan-hines,D\'Juan Hines,OLB/LB/DB,3.0,,,,,3.0,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,
dallas,Dallas,,,,,,,19.0,25.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
darius-victor,Darius Victor,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,16.0,,,,
deandre-thompkins,DeAndre Thompkins,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,67.0,6.0,1.0,5.0,,,,3.0
demetrious-cox,Demetrious Cox,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
derrick-hayward,Derrick Hayward,WR,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,1.0,,,,,,1.0
des-lawrence,Des Lawrence,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,
