player_id,player_name,positions,assisted_tackles,interceptions,kick_returns,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,solo_tackles,tackles
joshua-neal,Joshua Neal,WR,0.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
kameronn-joseph,Kameronn Joseph,WR,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,,
laronji-vason-mccoy,Laronji Vason-McCoy,DB,,,,50.0,0.0,0.0,50.0,1.0,,,,,,,,,,,,,,,,
laterrance-welch,Laterrance Welch,,0.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
matt-struck,Matt Struck,QB,,,1.0,,,,,,12.0,12.0,0.0,12.0,,,,,,,,,,,,
zachary-calzada,Zachary Calzada,,,0.0,,,,,,,,,,,2.0,1.0,0.0,0.0,0.0,,,,,,,
