player_id,player_name,positions,assists,blocks,def_rebounds,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,fouls,ft_pct,fta,ftm,games_played,minutes,off_rebounds,points,rebounds,steals,turnovers
aaliyah-edwards,Aaliyah Edwards,F,1.1,0.4,4.3,100.0,0.1,0.1,57.0,5.6,3.2,2.1,47.1,1.2,0.6,14.0,9.5,1.1,7.6,5.4,0.6,1.4
aliyah-boston,Aliyah Boston,F,0.6,0.4,4.0,50.0,0.2,0.1,48.5,5.1,2.5,1.8,70.0,0.8,0.5,13.0,9.2,1.4,5.9,5.4,0.2,0.5
allisha-gray,Allisha Gray,G,2.7,0.1,5.0,37.9,6.2,2.4,47.0,14.3,6.7,3.1,87.1,2.2,1.9,14.0,19.6,0.7,19.4,5.7,1.2,1.5
alyssa-thomas,Alyssa Thomas,F,4.5,0.3,8.0,,,,51.9,9.9,5.1,2.1,36.4,1.4,0.5,8.0,16.4,3.3,11.3,11.3,1.0,2.6
angel-reese,Angel Reese,F,1.9,0.4,8.6,22.2,0.6,0.1,46.9,10.5,4.9,3.8,73.5,2.4,1.8,14.0,15.7,3.8,13.3,12.4,0.7,2.4
ariel-atkins,Ariel Atkins,,1.5,,1.3,22.2,2.3,0.5,21.1,4.8,1.0,2.3,100.0,0.3,0.3,4.0,7.5,0.5,3.0,1.8,0.5,1.5
arike-ogunbowale,Arike Ogunbowale,W,3.4,0.3,2.8,25.0,4.5,1.1,35.5,11.6,4.1,2.1,75.0,0.5,0.4,8.0,14.4,0.1,10.0,2.9,0.8,1.3
azura-stevens,Azurá Stevens,F,1.1,0.7,5.6,18.2,3.3,0.6,48.5,10.1,4.9,1.8,66.7,1.2,0.8,10.0,10.9,1.7,11.7,7.3,0.7,1.0
betnijah-laney-hamilton,Betnijah Laney-Hamilton,,1.5,,2.5,,3.0,,38.7,15.5,6.0,2.0,100.0,2.0,2.0,2.0,16.5,,15.5,2.5,0.5,1.5
breanna-stewart,Breanna Stewart,W,3.1,1.1,10.1,19.0,3.0,0.6,43.8,16.0,7.0,1.9,78.7,3.4,2.6,14.0,18.6,1.1,19.1,11.1,1.1,1.5
brittney-griner,Brittney Griner,F,1.4,1.3,4.9,55.6,0.6,0.4,64.5,11.1,7.1,1.8,76.2,1.5,1.1,14.0,15.4,0.9,16.7,5.8,0.3,1.7
brittney-sykes,Brittney Sykes,W,1.9,0.1,2.7,23.1,2.2,0.5,42.0,10.9,4.6,3.4,76.5,1.4,1.1,12.0,12.8,1.2,11.6,3.8,0.6,1.8
chelsea-gray,Chelsea Gray,G,5.5,0.4,4.1,46.2,5.6,2.6,45.5,18.1,8.2,2.2,95.7,1.6,1.6,14.0,19.9,1.0,21.4,5.1,1.3,2.8
