player_id,player_name,positions,def_int,def_sack,def_solo,def_tot,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_yds,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
anthony-orange,Anthony Orange,DB,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anthony-parker,Anthony Parker,WR,,,,,,,,,,,,,,,,,,79.0,5.0,,,100.0,,,,,,,,,,,,,
anthony-thompson,Anthony Thompson,DB,1.0,,1.0,1.0,,,,,,,,,,,,,,8.0,1.0,,,8.0,,,,,,,,,,,,,
boseko-lokombo,Boseko Lokombo,LB,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bryan-burnham,Bryan Burnham,WR,,,,,,,,,,,,,55.0,2.0,5.0,12.0,65.0,,,,,,,,,,,,,,,,,,
claudell-louis,Claudell Louis,DT/DB,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cody-fajardo,Cody FAJARDO,QB,,,,,,1.0,1.0,,3.0,,,3.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,
cory-watson,Cory Watson,WR,,,,,,,,,,,,,23.0,3.0,4.0,6.0,33.0,,,,,,,,,,,,,,,,,,
david-mackie,David Mackie,RB/FB,,,,,,,,,,,,,-1.0,1.0,1.0,-1.0,-1.0,,,,,,,,,,,,,,,,,,
davon-coleman,Davon Coleman,DT/DB,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devier-posey,DeVier Posey,WR,,,,,,,,,,,,,19.0,4.0,8.0,6.0,44.0,,,,,,,,,,,,,,,,,,
dyshawn-davis,Dyshawn Davis,LB,,,,,,,,,,,,,3.0,1.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,
garry-peters,Garry Peters,DB,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ivan-mclennan,Ivan McLennan,DB/DL,,1.0,2.0,2.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeremiah-johnson,Jeremiah Johnson,DB/S/CB,,,,,,,,,,,,,,,1.0,,,31.0,2.0,,,54.0,,,,,,,,,,,,,
micah-awe,Micah Awe,LB,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otha-foster,Otha Foster,DB/LB,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ricky-collins,Ricky Collins,WR,,,,,,,,,,,,,6.0,1.0,2.0,1.0,6.0,-4.0,1.0,,,-4.0,,,,,,,,,,,,,
shaquille-johnson,Shaquille Johnson,WR,,,,,,,,,,,,,32.0,2.0,3.0,14.0,48.0,,,,,,,,,,,,,,,,,,
shawn-lemon,Shawn Lemon,DB/DE/DL,,1.0,1.0,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tj-lee,T.J. Lee,DB,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
travis-lulay,Travis Lulay,QB,,,,,,26.0,14.0,1.0,55.0,2.0,1.0,193.0,,,,,,,,,,,2.0,12.0,,16.0,,,,,,,,,
ty-long,Ty Long,K,,,,,,,,,,,,,,,,,,75.0,3.0,3.0,72.0,206.0,,,,,14.0,,,4.0,4.0,52.0,14.0,2.0,2.0
tyrell-sutton,Tyrell Sutton,RB,,,,,,,,,,,,,-2.0,1.0,2.0,-2.0,-2.0,,,,,,22.0,12.0,2.0,106.0,12.0,2.0,2.0,,,,,,
winston-rose,Winston Rose,DB,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
