player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_td,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_conv,score_kr,score_p,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
aj-ouellette,A.J. OUELLETTE,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,30.0,,107.0,,,,,,,,,,,,
abdul-kanneh,Abdul Kanneh,DB,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adam-auclair,Adam Auclair,LB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anthony-coombs,Anthony Coombs,WR,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
antonio-pipkin,Antonio Pipkin,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,2.0,,,,,,,,,,,,
avery-ellis,Avery Ellis,DL/DB/DE,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avery-williams,Avery Williams,LB,1.0,,,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boris-bede,Boris Bede,K,,,,,,,,,,,,,,,,,,,,,,65.0,5.0,5.0,176.0,1.0,307.0,,,,,,,,15.0,,,5.0,5.0,50.0,15.0,,
brandin-dandridge,Brandin Dandridge,DB,1.0,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caleb-evans,Caleb EVANS,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,3.0,,,,6.0,1.0,1.0,,,,,,
cameron-judge,Cameron Judge,LB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chandler-worthy,Chandler Worthy,WR,,,,,,,,,,,,,,,,,,,,,,22.0,3.0,,,,56.0,,,,,,,,,,,,,,,,
chris-edwards,Chris Edwards,LB/DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,13.0,1.0,,,,13.0,,,,,,,,,,,,,,,,
cleyon-laing,Cleyon Laing,DL/DB,,,1.0,3.0,3.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
