player_id,player_name,positions,1pt_conversion,dst_touchdown,extra_point,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
aaron-shampklin,Aaron Shampklin,RB,,,,,,,,,,,,,0.0,26.0,1.0,0.0,30.0,
anthony-jones,Anthony Jones,RB,,,,,,,,,,,,,0.0,3.0,1.0,,,
bt-potter,B.T. Potter,K,,,,52.0,,,,,1.0,,,,,,,,,
brandon-barnes,Brandon Barnes,WR/TE,,,,,,,,,,,,,0.0,9.0,1.0,,,
breakers-dst,Breakers DST,DST,,,,,,,1.0,,,,,10.0,,,,,,4.0
breakers-k,Breakers K,K,,,2.0,33.0,,,,,,,,,,,,,,
breakers-qb,Breakers QB,QB,,,,,,0.0,,,,2.0,227.0,,,,,0.0,-1.0,
chris-blewitt,Chris Blewitt,K,,,,77.0,,,,,,,,,,,,,,
cole-hikutini,Cole Hikutini,TE,1.0,,,,,,,,,,,,0.0,6.0,1.0,,,
cyril-grayson,Cyril Grayson,WR,,,,,,,,,,,,,0.0,56.0,4.0,,,
cyrus-habibi-likio,Cyrus Habibi-Likio,RB,,,,,,,,,,,,,0.0,9.0,1.0,0.0,4.0,
danny-etling,Danny Etling,QB,1.0,,,,,0.0,,,,3.0,167.0,,,,,0.0,22.0,
dee-anderson,Dee Anderson,WR,,,,,,,,,,,,,1.0,4.0,1.0,,,
devin-ross,Devin Ross,WR,,,,,,,,,,,,,1.0,39.0,2.0,,,
ej-bibbs,EJ Bibbs,WR/TE,,,,,,,,,,,,,0.0,9.0,1.0,,,
emmanuel-butler,Emmanuel Butler,WR,,,,,,,,,,,,,0.0,55.0,4.0,,,
gamblers-dst,Gamblers DST,DST,,,,,,,0.0,,,,,17.0,,,,,,2.0
gamblers-k,Gamblers K,K,,,1.0,49.0,,,,,,,,,,,,,,
gamblers-qb,Gamblers QB,QB,,,,,,1.0,,,,0.0,231.0,,,,,0.0,12.0,
georquarius-spivey,Geor\'Quarius Spivey,TE,,,,,,,,,,,,,0.0,0.0,0.0,,,
gunnar-oakes,Gunnar Oakes,TE,,,,,,,,,,,,,0.0,12.0,1.0,,,
isaiah-zuber,Isaiah Zuber,WR,,,,,,,,,,,,,0.0,22.0,4.0,,,
jalan-mcclendon,Jalan McClendon,QB,,,,,,1.0,,1.0,,2.0,316.0,,,,,0.0,24.0,
jaylon-moore-2,Jaylon Moore,WR,,,,,,,,,,,,,0.0,24.0,2.0,,,
johnnie-dixon,Johnnie Dixon,WR,,,,,,,,,,,,,1.0,60.0,3.0,,,
jonathan-adams,Jonathan Adams,WR,,,,,,,,,,,,,0.0,31.0,3.0,,,
josh-pederson,Josh Pederson,RB/WR/TE,,,,,,,,,,,,,0.0,25.0,4.0,,,
justin-hall,Justin Hall,WR,,,,,,,,,,,,,1.0,142.0,16.0,,,
keke-chism,Keke Chism,WR,,,,,,,,,,,,,1.0,110.0,8.0,,,
kenji-bahar,Kenji Bahar,QB,,,,,,1.0,,,,0.0,231.0,,,,,0.0,12.0,
kirk-merritt,Kirk Merritt,RB,,,,,,,,,,,,,0.0,15.0,3.0,0.0,9.0,
lawrence-keys-iii,Lawrence Keys III,WR,,,,,,,,,,,,,0.0,42.0,2.0,,,
lee-morris,Lee Morris,WR,,,,,,,,,,,,,0.0,33.0,3.0,,,
lorenzo-lingard,Lorenzo Lingard,RB,,,,,,,,,,,,,,,,0.0,33.0,
malik-turner,Malik Turner,WR,,,,,,,,,,,,,1.0,40.0,4.0,,,
mark-thompson,Mark Thompson,RB,,,,,,,,,,,,,0.0,10.0,2.0,1.0,84.0,
matt-coghlin,Matt Coghlin,K,,,2.0,33.0,,,,,,,,,,,,,,
mcleod-bethel-thompson,McLeod Bethel-Thompson,QB,,,,,,0.0,,,,2.0,227.0,,,,,0.0,-1.0,
montell-cozart,Montell Cozart,QB,,,,,,1.0,,,,0.0,0.0,,,,,,,
nate-mccrary,Nate McCrary,RB,,,,,,,,,,,,,0.0,12.0,1.0,0.0,27.0,
nick-vogel,Nick Vogel,K,,,1.0,49.0,,,,,,,,,,,,,,
panthers-dst,Panthers DST,DST,,1.0,,,1.0,,1.0,,,,,18.0,,,,,,0.0
panthers-k,Panthers K,K,,,,52.0,,,,,1.0,,,,,,,,,
panthers-qb,Panthers QB,QB,1.0,,,,,0.0,,,,3.0,167.0,,,,,0.0,22.0,
roughnecks-dst,Roughnecks DST,DST,,,,,,,0.0,,,,,24.0,,,,,,2.0
roughnecks-k,Roughnecks K,K,,,,77.0,,,,,,,,,,,,,,
roughnecks-qb,Roughnecks QB,QB,,,,,,1.0,,1.0,,2.0,316.0,,,,,0.0,24.0,
sage-surratt,Sage Surratt,TE,,,,,,,,,,,,,0.0,38.0,5.0,,,
samson-nacua,Samson Nacua,WR,,,,,,,,,,,,,1.0,1.0,1.0,,,
siaosi-mariner,Siaosi Mariner,WR,,,,,,,,,,,,,0.0,26.0,1.0,,,
teo-redding,Teo Redding,WR,,,,,,,,,,,,,0.0,35.0,2.0,,,
toa-taua,Toa Taua,RB,2.0,,,,,,,,,,,,0.0,7.0,1.0,0.0,46.0,
wes-hills,Wes Hills,RB,,,,,,,,,,,,,0.0,40.0,5.0,0.0,20.0,
zaquandre-white,ZaQuandre White,RB,,,,,,,,,,,,,0.0,0.0,0.0,0.0,59.0,
