player_id,player_name,positions,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,pass_defended,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
aj-hendy,A.J. Hendy,FS/DB,,,,,,,,,,,,,,2.0
ajene-harris,Ajene Harris,CB/DB,,,1.0,,,,,,,,,,,4.0
antoine-brooks,Antoine Brooks,CB/DB,,,,,,,,,,,,,1.0,2.0
antwuan-jackson,Antwuan Jackson,DL/DT,,,,,,,,,,,,,,1.0
austin-faoliu,Austin Faoliu,DL/DT,,,,,,,,,,,,,1.0,3.0
ben-dinucci,Ben DiNucci,QB,,3.0,,,,1.0,209.0,,,,1.0,33.0,,
ben-putman,Ben Putman,WR,,,,,,,,,22.0,2.0,,,,
blake-jackson,Blake Jackson,WR,,,,,,,,,1.0,1.0,,,,
brandon-silvers,Brandon Silvers,QB,,1.0,,1.0,,1.0,227.0,,,,,,,
brycen-alleyne,Brycen Alleyne,RB,,,,,,,,,2.0,1.0,0.0,35.0,,
cj-brewer,C.J. Brewer,DL/DT,,,,,,,,,,,,,,2.0
cedric-byrd,Cedric Byrd,WR,,,,,,,,,20.0,5.0,,,,
chauncey-rivers,Chauncey Rivers,DL,,,,,,,,,,,,,1.0,3.0
chris-jones,Chris Jones,DT/DB,,,,,1.0,,,,,,,,,2.0
cole-mcdonald,Cole McDonald,QB,,,,,,,,,,,,5.0,,
damion-willis,Damion Willis,WR,,,,,,,,1.0,61.0,5.0,,,,
daniel-joseph,Daniel Joseph,DL,1.0,,,,1.0,,,,,,,,,
deandre-johnson-2,Deandre Johnson,OLB/LB,,,,,,,,,,,,,,1.0
deontay-burnett,Deontay Burnett,WR,,,,,,,,,35.0,3.0,,,,
elijah-ponder,Elijah Ponder,DL/LB,,,,,1.0,,,,,,,,,2.0
emmanuel-smith-2,Emmanuel Smith,LB,,,,,1.0,,,,,,,,,3.0
jahcour-pearson,Jahcour Pearson,WR,,,,,,,,,82.0,5.0,,,,
john-daka,John Daka,DL/LB,,,,,,,,,,,,,,1.0
jordan-evans,Jordan Evans,LB,,,,,,,,,,,,,,1.0
jordan-mosley,Jordan Mosley,SS/DB,,,,,,,,,,,,,,6.0
jordan-veasy,Jordan Veasy,WR,,,,,,,,,33.0,2.0,,,,
josh-gordon,Josh Gordon,WR,,,,,1.0,,,,15.0,2.0,,,,
justin-smith,Justin Smith,WR,,,,,,,,1.0,63.0,3.0,,,,
juwan-green,Juwan Green,WR,,,,,,,,,17.0,2.0,,,,
kary-vincent-jr,Kary Vincent Jr.,CB/DB,,,,,,,,,,,,,,2.0
linden-stephens,Linden Stephens,DB,,,,,,,,,,,,,,1.0
max-borghi,Max Borghi,RB,,,,,,,,,21.0,5.0,1.0,12.0,,
morgan-ellison,Morgan Ellison,RB,,,,1.0,,,,,,,,15.0,,
mykael-wright,Mykael Wright,DB,,,,,,,,,,,,,,1.0
nick-holley,Nick Holley,WR/RB,,,,,,,,,6.0,1.0,,,,
niko-lalos,Niko Lalos,DE/DL,,,1.0,,2.0,,,,,,,,,4.0
qwynnterrio-cole,Qwynnterrio Cole,FS/DB,,,,,,,,,,,,,,9.0
raleigh-texada,Raleigh Texada,DB,,,,,,,,,,,,,,1.0
roughnecks-dst,Roughnecks DST,DST,,,3.0,,,,,,,,,,2.0,
roughnecks-qb,Roughnecks QB,QB,,1.0,,1.0,,1.0,227.0,,,,,5.0,,
sea-dragons-dst,Sea Dragons DST,DST,,,1.0,,,,,,,,,,3.0,
sea-dragons-qb,Sea Dragons QB,QB,,3.0,,,,1.0,209.0,,,,1.0,33.0,,
tj-hammonds,T.J. Hammonds,WR,,,,,,,,,,,,28.0,,
tavante-beckett,Tavante Beckett,LB,,,,,,,,,,,,,,4.0
travell-harris,Travell Harris,WR,,,,,,,,,58.0,5.0,,,,
tre-walker-2,Tre Walker,LB,,,,,,,,,,,,,,1.0
tuzar-skipper,Tuzar Skipper,OLB/LB,,,,,,,,,,,,,1.0,1.0
william-likely,William Likely,DB,,,,,1.0,,,,,,,,,4.0
