player_id,player_name,positions,assist_tackles,completions,fg_0_19,fg_20_29,fg_30_39,fg_40_49,fg_50plus,fg_att_game,fumble_rec_yards,fumbles_forced,fumbles_lost_game,fumbles_opp_rec,fumbles_own_rec,int_avg,int_long,int_tds,int_yards,interceptions_lost,interceptions_made,pass_attempts,passing_tds,passing_yards,pr_fc,punt_avg,punt_long,punt_tb,punt_yards,punts,punts_blocked,punts_in20,receiving_tds,receiving_yards,receptions,rush_attempts,rushing_tds,rushing_yards,solo_tackles,targets,xp_att_game
aj-tarpley,A.J. Tarpley,DB,1.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,6.0,,
adonis-jennings,Adonis Jennings,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,22.0,3.0,,,,,5.0,
alex-barrett,Alex Barrett,DB/DE,2.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,
andrew-stelter,Andrew Stelter,DB,2.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,1.0,,
anthony-denham,Anthony Denham,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,32.0,4.0,,,,,6.0,
austin-rehkow,Austin Rehkow,,,,,,,,,,,,,,,,,,,,,,,,,40.4,52.0,0.0,283.0,7.0,0.0,2.0,,,,,,,,,
austin-traylor,Austin Traylor,WR,1.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,0.0,0.0,0.0,,,,1.0,1.0,
ben-johnson,Ben Johnson,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,18.0,3.0,,,,,3.0,
bishop-sankey,Bishop Sankey,RB,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,0.0,2.0,1.0,11.0,0.0,42.0,1.0,1.0,
brian-brown,Brian Brown,WR,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,0.0,38.0,3.0,,,,1.0,9.0,
cj-smith,CJ Smith,DB,0.0,,,,,,,,,,,,,26.0,26.0,0.0,26.0,,1.0,,,,,,,,,,,,,,,,,,0.0,,
cody-brown,Cody Brown,SAF/S/DB,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,3.0,,
damarius-travis,Damarius Travis,DB,2.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,1.0,,
