player_id,player_name,positions,assist_tackles,completions,fg_40_49,fg_att_game,int_long,int_tds,int_yards,interceptions_lost,interceptions_made,kick_returns,kr_long,kr_yards,pass_attempts,passing_tds,passing_yards,pr_long,pr_yards,punt_avg,punt_long,punt_returns,punt_yards,punts,punts_blocked,punts_in20,receiving_tds,receiving_yards,receptions,rush_attempts,rushing_tds,rushing_yards,sacks,solo_tackles,tackles,targets
ajene-harris,Ajene Harris,CB/DB,,,,,,,,,,4.0,33.0,104.0,,,,,,,,,,,,,,,,,,,,2.0,2.0,
alonzo-moore,Alonzo Moore,WR,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,3.0,,,,,,,2.0
andre-williams,Andre Williams,RB/WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,54.0,,,,
anthony-johnson,Anthony Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,
austin-proehl,Austin Proehl,WR,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,56.0,3.0,,,,,,,2.0
austin-rehkow,Austin Rehkow,P,,,,,,,,,,,,,,,,,,40.0,40.0,,40.0,1.0,1.0,1.0,,,,,,,,,,
ayodeji-olatoye,Ayodeji Olatoye,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,
bj-daniels,B.J. Daniels,QB,,14.0,,,,,,,,,,,22.0,,114.0,,,,,,,,,,,,,10.0,2.0,30.0,,,,
ben-johnson,Ben Johnson,WR,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,,,,,,,
beniquez-brown,Beniquez Brown,DB/LB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,7.0,
blake-jackson,Blake Jackson,WR,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,1.0,,,,,,,1.0
brock-miller,Brock Miller,P,,,,,,,,,,,,,,,,,,42.6,47.0,,213.0,5.0,38.0,4.0,,,,,,,,,,
cam-phillips,Cam Phillips,WR,,,,,,,,,,,,,,,,,,,,,,,,,2.0,122.0,10.0,,,,,,,7.0
caushaud-lyons,Caushaud Lyons,DB/DT,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,
channing-stribling,Channing Stribling,CB/DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
charles-james,Charles James,DB,,,,,,,,,,1.0,18.0,18.0,,,,,,,,,,,,,,,,,,,,4.0,4.0,
cody-brown,Cody Brown,DB/S/SAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,
