player_id,player_name,positions,extra_point,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
anthony-mcfarland-jr,Anthony McFarland Jr,RB,,,,,,,,,,0.0,12.0,1.0,1.0,37.0,
armani-rogers,Armani Rogers,TE,,,,,,,,,,0.0,29.0,1.0,,,
birmingham-stallions-qb,BIRMINGHAM STALLIONS QB,K/DST/QB,2.0,,1.0,2.0,0.0,,2.0,226.0,22.0,,,,0.0,8.0,0.0
cam-sutton,Cam Sutton,TE,,,,,,,,,,0.0,44.0,5.0,,,
daewood-davis,Daewood Davis,WR,,,,,,,,,,0.0,0.0,0.0,,,
deon-cain,Deon Cain,WR,,,,,,,,,,1.0,40.0,5.0,,,
dorian-thompson-robinson,Dorian Thompson-Robinson,QB,,,,0.0,,,0.0,19.0,,,,,0.0,6.0,
houston-gamblers-dst,HOUSTON GAMBLERS DST,DST,,,,,2.0,,,,20.0,,,,,,1.0
houston-gamblers-k,HOUSTON GAMBLERS K,K,1.0,169.0,,,,,,,,,,,,,
houston-gamblers-qb,HOUSTON GAMBLERS QB,QB,,,,0.0,,,0.0,234.0,,,,,0.0,37.0,
hunter-dekkers,Hunter Dekkers,QB,,,,0.0,,,0.0,48.0,,,,,0.0,14.0,
javonta-payton,JaVonta Payton,WR,,,,,,,,,,0.0,22.0,2.0,,,
jabre-barber,Jabre Barber,WR,,,,,,,,,,0.0,28.0,3.0,,,
jalen-moreno-cropper,Jalen Moreno-Cropper,WR,,,,,,,,,,0.0,0.0,0.0,,,
jalen-white,Jalen White,RB,,,,,,,,,,0.0,5.0,3.0,1.0,82.0,
jaydon-mickens,Jaydon Mickens,WR,,,,,,,,,,1.0,63.0,5.0,,,
john-hoyland,John Hoyland,K,1.0,169.0,,,,,,,,,,,,,
jontre-kirklin,Jontre Kirklin,WR,,,,,,,,,,0.0,85.0,5.0,,,
jordan-thomas-2,Jordan Thomas,TE,,,,,,,,,,0.0,0.0,0.0,,,
justin-hall,Justin Hall,WR,,,,,,,,,,0.0,59.0,4.0,,,
justyn-ross,Justyn Ross,WR,,,,,,,,,,0.0,70.0,5.0,,,
kirk-merritt,Kirk Merritt,RB,,,,,,,,,,0.0,0.0,0.0,,,
lawrence-keys-iii,Lawrence Keys III,WR,,,,,,,,,,0.0,8.0,2.0,0.0,0.0,
marcus-yarns,Marcus Yarns,RB,,,,,,1.0,,,,0.0,4.0,2.0,0.0,54.0,
nolan-henderson,Nolan Henderson,QB,,,,0.0,,,0.0,186.0,,,,,0.0,23.0,
snoop-conner,Snoop Conner,RB,,,,,,,,,,,,,0.0,17.0,
tyler-davis,Tyler Davis,WR/TE/RB,,,,,,,,,,,6.0,1.0,,,
