player_id,player_name,positions,def_ast,def_sack,def_solo,def_tot,def_ydsl
jeremy-faulk,Jeremy Faulk,DB/DL,,,2.0,2.0,
meffy-koloamatangi,Meffy Koloamatangi,DB/DE,3.0,0.5,,3.0,4.5
shaheed-salmon,Shaheed Salmon,LB/DB,1.0,,3.0,4.0,
