player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,match_played
ad-russell,AD Russell,,16.0,3.0,0.0,4.0,24.0,1.0,24.0,0.0,0.0,38.0,1.0,0.0,,1.0
ar-adams,AR Adams,,,,,,,,18.0,0.0,1.0,22.0,0.0,1.0,,1.0
abdur-razzak,Abdur Razzak,,,,,,,,12.0,0.0,0.0,7.0,2.0,0.0,,1.0
arafat-sunny,Arafat Sunny,,,,,,,,18.0,0.0,0.0,17.0,0.0,0.0,1.0,1.0
dj-bravo,DJ Bravo,,12.0,2.0,0.0,5.0,12.0,0.0,24.0,0.0,1.0,34.0,1.0,3.0,,1.0
dr-smith,DR Smith,,26.0,3.0,1.0,3.0,39.0,2.0,13.0,0.0,0.0,19.0,0.0,0.0,1.0,1.0
enamul-haque-jnr,Enamul Haque jnr,,,,,,,,12.0,0.0,0.0,24.0,0.0,0.0,1.0,1.0
faisal-hossain,Faisal Hossain,,19.0,0.0,1.0,6.0,17.0,0.0,,,,,,,,1.0
hh-gibbs,HH Gibbs,,29.0,5.0,0.0,2.0,34.0,0.0,,,,,,,,1.0
jj-roy,JJ Roy,,29.0,2.0,0.0,3.0,36.0,2.0,,,,,,,,1.0
jahurul-islam,Jahurul Islam,,6.0,0.0,0.0,2.0,10.0,1.0,,,,,,,1.0,1.0
kk-cooper,KK Cooper,,,,,,,,24.0,0.0,1.0,42.0,0.0,0.0,,1.0
m-muralitharan,M Muralitharan,,,,,,,,24.0,0.0,0.0,32.0,0.0,1.0,,1.0
mahmudullah,Mahmudullah,,3.0,1.0,0.0,4.0,4.0,0.0,18.0,0.0,0.0,18.0,2.0,1.0,,1.0
nasir-hossain,Nasir Hossain,,,,,,,,12.0,0.0,0.0,35.0,0.0,0.0,,1.0
nasir-jamshed,Nasir Jamshed,,47.0,10.0,1.0,1.0,86.0,3.0,,,,,,,,1.0
s-chanderpaul,S Chanderpaul,,50.0,5.0,0.0,1.0,59.0,3.0,,,,,,,,1.0
saghir-hossain,Saghir Hossain,,,,,,,,,,,,,,1.0,1.0
shafiul-islam,Shafiul Islam,,,,,,,,24.0,0.0,0.0,36.0,1.0,1.0,1.0,1.0
shakib-al-hasan,Shakib Al Hasan,,1.0,1.0,1.0,5.0,4.0,0.0,12.0,0.0,0.0,11.0,0.0,0.0,1.0,1.0
