player_id,player_name,positions,interceptions_lost,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
arthur-anderson-iv,ARTHUR ANDERSON IV,WR,,,,1.0,41.0,5.0,,
corpus-christi-qb,CORPUS CHRISTI QB,QB,1.0,2.0,112.0,,,,1.0,32.0
calvin-fance,Calvin Fance,RB,,,,,,,0.0,13.0
drevon-macon,Drevon Macon,WR,,,,0.0,34.0,3.0,,
fred-payton,Fred Payton,QB,1.0,2.0,112.0,,,,1.0,32.0
jordon-gandy,Jordon Gandy,WR,,,,0.0,22.0,2.0,,
josiah-king,Josiah King,RB,,,,,,,0.0,30.0
nashville-qb,NASHVILLE QB,QB,,4.0,138.0,,,,1.0,18.0
quintavius-workman,Quintavius Workman,WR,,,,0.0,27.0,1.0,,
