player_id,player_name,positions,match_loss,match_played,match_win,team_points_against,team_points_for
alexander-qvist,Alexander Qvist,,1.0,1.0,0.0,9.0,5.0
anders-mjoeen,Anders Mjoeen,,0.0,1.0,1.0,5.0,9.0
emil-storli,Emil Storli,,0.0,1.0,1.0,5.0,9.0
erland-snoeve,Erland Snoeve,,0.0,1.0,1.0,5.0,9.0
jacob-schmidt,Jacob Schmidt,,1.0,1.0,0.0,9.0,5.0
jonathan-saeteren,Jonathan Saeteren,,0.0,1.0,1.0,5.0,9.0
jonathan-vilandt,Jonathan Vilandt,,1.0,1.0,0.0,9.0,5.0
kasper-jurlander-boege,Kasper Jurlander Boege,,1.0,1.0,0.0,9.0,5.0
markus-dale,Markus Dale,,0.0,1.0,1.0,5.0,9.0
nikki-jensen,Nikki Jensen,,1.0,1.0,0.0,9.0,5.0
