player_id,player_name,positions,extra_point,field_goal_yards,interceptions_lost,interceptions_made,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
brady-oliveira,Brady OLIVEIRA,RB,,,,,,,,0.0,51.0,6.0,0.0,61.0
cgy-dst,CGY DST,DST,,,,2.0,,,16.0,,,,,
cgy-k,CGY K,K,5.0,,,,,,,,,,,
cgy-qb,CGY QB,QB,,,0.0,,2.0,222.0,,,,,0.0,8.0
chris-streveler,Chris STREVELER,QB,,,0.0,,0.0,28.0,,,,,0.0,5.0
clark-barnes,Clark BARNES,WR,,,,,,,,1.0,43.0,1.0,,
dalton-schoen,Dalton SCHOEN,WR,,,,,,,,0.0,47.0,4.0,,
damien-alford,Damien ALFORD,WR,,,,,,,,1.0,22.0,2.0,,
dedrick-mills,Dedrick MILLS,RB,,,,,,,,0.0,5.0,1.0,1.0,93.0
dominique-rhymes,Dominique RHYMES,WR,,,,,,,,0.0,13.0,1.0,,
eno-benjamin,Eno BENJAMIN,RB,,,,,,,,,,,0.0,4.0
erik-brooks,Erik BROOKS,WR,,,,,,,,0.0,15.0,2.0,,
jalen-philpot,Jalen PHILPOT,WR,,,,,,,,0.0,75.0,2.0,,
jerreth-sterns,Jerreth STERNS,WR,,,,,,,,1.0,49.0,7.0,,
joey-corcoran,Joey CORCORAN,WR,,,,,,,,0.0,4.0,1.0,,
keric-wheatfall,Keric Wheatfall,WR,,,,,,,,0.0,8.0,1.0,,
kevens-clercius,Kevens Clercius,WR,,,,,,,,0.0,78.0,10.0,,
matthew-peterson,Matthew Peterson,RB,,,,,,,,0.0,5.0,1.0,0.0,8.0
nic-demski,Nic DEMSKI,WR,,,,,,,,0.0,74.0,9.0,,
rene-paredes-2,Rene PAREDES,K,5.0,,,,,,,,,,,
sergio-castillo,Sergio CASTILLO,K,1.0,69.0,,,,,,,,,,
tevin-jones,Tevin JONES,WR,,,,,,,,0.0,49.0,4.0,,
vernon-adams-jr,Vernon ADAMS JR.,QB,,,,,2.0,222.0,,,,,,8.0
wpg-dst,WPG DST,DST,,,,,,,37.0,,,,,
wpg-k,WPG K,K,1.0,69.0,,,,,,,,,,
wpg-qb,WPG QB,QB,,,2.0,,1.0,316.0,,,,,0.0,23.0
zach-collaros,Zach COLLAROS,QB,,,2.0,,1.0,288.0,,,,,0.0,18.0
