player_id,player_name,positions,assist_tackles,completions,fg_20_29,fg_40_49,fg_50plus,fg_att_game,int_long,int_tds,int_yards,interceptions_lost,interceptions_made,kick_returns,kr_long,kr_yards,pass_attempts,passing_tds,passing_yards,pr_fc,pr_long,pr_yards,punt_avg,punt_long,punt_returns,punt_yards,punts,punts_blocked,punts_in20,receiving_tds,receiving_yards,receptions,rush_attempts,rushing_yards,sacks,solo_tackles,tackles,targets
aj-hendy,A.J. Hendy,DB/FS,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,
adonis-jennings,Adonis Jennings,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,3.0,,,,,,1.0
ahmad-dixon,Ahmad Dixon,DB/SAF,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,15.0,
andrew-soroh,Andrew Soroh,S/DB/SAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,
arrion-springs,Arrion Springs,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,
austin-duke,Austin Duke,WR,,,,,,,,,,,,,,,,,,1.0,14.0,22.0,,,2.0,,,,,,3.0,1.0,,,,,,
ben-heeney,Ben Heeney,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,
brandon-barnes,Brandon Barnes,TE/WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,3.0,,,,,,
bryce-jones,Bryce Jones,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,
cavon-walker,Cavon Walker,DE/DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,
cedric-reed,Cedric Reed,DL/DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
colby-pearson,Colby Pearson,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,5.0,,,,,,2.0
dallas,Dallas,,,,,,,,,20.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
darius-victor,Darius Victor,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,82.0,,,,
dequan-hampton,De\'Quan Hampton,TE/WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,
demetrious-cox,Demetrious Cox,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
devin-taylor,Devin Taylor,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,2.0,3.0,
dujuan-harris,DuJuan Harris,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,2.0,5.0,25.0,,,,
ej-bibbs,EJ Bibbs,TE/WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,2.0,,,,,,2.0
elijah-hood,Elijah Hood,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,,,,
frank-ginda,Frank Ginda,DB/OLB/LB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,9.0,
garret-dooley,Garret Dooley,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
harlan-miller,Harlan Miller,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,
houston,Houston,,,,,,,,6.0,27.0,9.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
jack-tocho,Jack Tocho,DB/SAF,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,
jake-powell,Jake Powell,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,3.0,,,,,,2.0
jamar-summers,Jamar Summers,CB/DB,1.0,,,,,,16.0,,16.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,
jarrell-owens,Jarrell Owens,DL/DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,4.0,
jeremiah-mckinnon,Jeremiah McKinnon,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,
jerome-couplin,Jerome Couplin,DB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,
joe-horn,Joe Horn,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,1.0,,,,,,1.0
joey-mbu,Joey Mbu,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
jordan-smallwood,Jordan Smallwood,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,5.0,,,,,,2.0
josh-johnson,Josh Johnson,DB,,25.0,,,,,,,,1.0,,,,,40.0,2.0,330.0,,,,,,,,,,,,,,1.0,2.0,,,,
justin-vogel,Justin Vogel,P,,,,,,,,,,,,,,,,,,,,,38.4,47.0,,192.0,5.0,7.0,3.0,,,,,,,,,
kermit-whitfield,Kermit Whitfield,WR,,,,,,,,,,,,5.0,23.0,95.0,,,,2.0,7.0,7.0,,,3.0,,,,,,16.0,2.0,1.0,5.0,,1.0,1.0,
ladarius-wiley,LaDarius Wiley,S/DB/SAF,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,
larry-rose,Larry Rose,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.0,,,,
latarius-brady,Latarius Brady,DL/DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2.0,3.0,
los-angeles,Los Angeles,,,,,,,,,14.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
luis-perez,Luis Perez,QB,,18.0,,,,,,,,,,,,,26.0,1.0,150.0,,,,,,,,,,,,,,2.0,2.0,,,,
matt-colburn,Matt Colburn,,,,,,,,,,,,,3.0,25.0,69.0,,,,,,,,,,,,,,,-2.0,1.0,1.0,6.0,,,,
matthew-mccrane,Matthew McCrane,K,,,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mekale-mckay,Mekale McKay,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,12.0,2.0,,,,,,1.0
mike-stevens,Mike Stevens,CB/DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
new-york,New York,,,,,,,,3.0,17.0,11.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
owen-roberts,Owen Roberts,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2.0,3.0,
patrick-vahe,Patrick Vahe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.0,,,,,,,
quentin-gause,Quentin Gause,DB/LB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,4.0,7.0,
reggie-howard,Reggie Howard,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,
roderick-henderson,Roderick Henderson,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,
roman-tatum,Roman Tatum,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
ryan-mueller,Ryan Mueller,DB/DE/LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,
ryan-navarro,Ryan Navarro,LS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
saeed-blacknall,Saeed Blacknall,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,42.0,1.0,,,,,,1.0
scott-daly,Scott Daly,LS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
seattle,Seattle,,,,,,,,6.0,16.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
shane-tripucka,Shane Tripucka,P,,,,,,,,,,,,,,,,,,,,,39.7,44.0,,119.0,3.0,22.0,2.0,,,,,,,,,
st-louis,St. Louis,,,,,,,,3.0,23.0,6.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,
tj-barnes,T.J. Barnes,DT/DL/DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,
total,TOTAL,WR,9.0,18.0,1.0,1.0,1.0,3.0,16.0,,16.0,,1.0,3.0,25.0,69.0,26.0,1.0,150.0,1.0,14.0,22.0,38.4,47.0,2.0,192.0,5.0,7.0,3.0,1.0,150.0,18.0,29.0,122.0,3.0,38.0,47.0,10.0
taiwan-jones,Taiwan Jones,DB/LB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,
tampa-bay,Tampa Bay,,,,,,,,3.0,25.0,9.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
teo-redding,Teo Redding,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,1.0,,,,,,1.0
tim-cook,Tim Cook,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,2.0,8.0,32.0,,,,1.0
toby-johnson,Toby Johnson,DL/DT/DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,
tre-mcbride,Tre McBride,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,127.0,8.0,,,,,,8.0
tre-williams,Tre Williams,DE/DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,
trevon-sanders,Trevon Sanders,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,
will-smith,Will Smith,DB/LB,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,10.0,
