player_id,player_name,positions,interceptions_lost,interceptions_made,passing_tds,passing_yards,points_against,sacks
bc-dst,BC DST,DST,,0.0,,,0.0,0.0
bc-qb,BC QB,QB,0.0,,0.0,0.0,,
ssk-dst,SSK DST,DST,,0.0,,,0.0,0.0
ssk-qb,SSK QB,QB,0.0,,0.0,0.0,,
