player_id,player_name,positions,field_goal_yards,fumble_recoveries,interceptions_made,missed,points_against,sacks
guardians-dst,Guardians DST,DST,,1.0,2.0,,33.0,3.0
guardians-k,Guardians K,K,,,,1.0,,
jose-borregales,Jose Borregales,K,,,,1.0,,
roughnecks-dst,Roughnecks DST,DST,,1.0,3.0,,12.0,7.0
roughnecks-k,Roughnecks K,K,88.0,,,,,
