player_id,player_name,positions,assisted_tackles,blocks,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,qb_hits,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
brian-price,Brian Price,LB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
caleb-shudak,Caleb  Shudak,K,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
calvin-lowe,Calvin Lowe,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,1.0,3.0,,,,,,,,
cornel-jones,Cornel Jones,LB,1.0,,1.0,0.0,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,
dnerius-antoine,D'Nerius Antoine,WR,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,8.0,13.0,,,,
deanthony-hall-steele,Deanthony  Hall-Steele,RB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,0.0,2.0,1.0,,,,,,,,0.0,1.0,,,,
demetrich-anderton,Demetrich Anderton,OL,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,9.0,,,,
dioh-desuah-refused-to-report,Dioh Desuah (Refused to Report),DL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,8.0,1.0,2.0,,
dion-kuinlan,Dion Kuinlan,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,
guillermo-serrano,Guillermo Serrano,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.7,21.0,1.0,41.0,3.0,,,,,,,,,,,,,
idrissa-nikiema,Idrissa Nikiema,K,,,,,1.0,30.0,1.0,,,,,,,,7.0,55.6,1.0,1.0,389.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.0
jayshawn-washington,Jayshawn Washington,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
jeff-mack-ii,Jeff Mack II,RB/WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7,13.0,0.0,32.0,3.0,3.5,9.0,4.0,0.0,14.0,,,,,,,,
