player_id,player_name,positions,extra_point,field_goal_yards,interceptions_lost,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
brady-oliveira,Brady OLIVEIRA,RB,,,,,,0.0,24.0,3.0,1.0,113.0
bryce-perkins,Bryce Perkins,QB,,,,,,,,,1.0,13.0
cgy-k,CGY K,K,4.0,,,,,,,,,
cgy-qb,CGY QB,QB,,,0.0,0.0,0.0,,,,1.0,8.0
dante-daniels,Dante DANIELS,,,,,,,0.0,5.0,1.0,,
dedrick-mills,Dedrick MILLS,RB,,,,,,0.0,3.0,1.0,1.0,112.0
dejon-brissett,Dejon BRISSETT,WR,,,,,,0.0,23.0,2.0,,
erik-brooks,Erik BROOKS,WR,,,,,,1.0,54.0,2.0,,
gavin-cobb,Gavin COBB,WR,,,,,,0.0,12.0,1.0,,
jalen-philpot,Jalen PHILPOT,WR,,,,,,0.0,96.0,5.0,0.0,0.0
joey-corcoran,Joey CORCORAN,WR,,,,,,0.0,0.0,0.0,,
jude-mcatamney,Jude McAtamney,K/PK,4.0,,,,,,,,,
michael-chris-ike,Michael CHRIS-IKE,RB,,,,,,0.0,0.0,0.0,,
nic-demski,Nic DEMSKI,WR,,,,,,0.0,28.0,2.0,,
ontaria-wilson,Ontaria Wilson,WR,,,,,,0.0,52.0,2.0,,
quincy-vaughn,Quincy VAUGHN,QB,,,,,,,,,1.0,8.0
sergio-castillo,Sergio CASTILLO,K,3.0,59.0,,,,,,,,
tevin-jones,Tevin JONES,WR,,,,,,0.0,40.0,4.0,,
tim-white,Tim WHITE,WR,,,,,,1.0,60.0,5.0,,
tommy-nield,Tommy Nield,WR,,,,,,0.0,52.0,3.0,,
tyreik-mcallister,Tyreik McAllister,RB/WR,,,,,,0.0,19.0,2.0,0.0,3.0
vyshonne-janusas,Vyshonne JANUSAS,WR,,,,,,0.0,4.0,1.0,,
wpg-k,WPG K,K,3.0,59.0,,,,,,,,
wpg-qb,WPG QB,QB,,,1.0,1.0,233.0,,,,1.0,21.0
zach-collaros,Zach COLLAROS,QB,,,1.0,1.0,233.0,,,,0.0,8.0
