player_id,player_name,positions,assist_tackles,completions,fg_20_29,fg_30_39,fg_40_49,fg_att_game,int_long,int_tds,int_yards,interceptions_lost,interceptions_made,kick_returns,kr_long,kr_tds,kr_yards,pass_attempts,passing_tds,passing_yards,pr_fc,pr_long,pr_yards,punt_avg,punt_long,punt_returns,punt_yards,punts,punts_blocked,punts_in20,receiving_tds,receiving_yards,receptions,rush_attempts,rushing_tds,rushing_yards,sacks,solo_tackles,tackles,targets
aj-hendy,A.J. Hendy,FS/DB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6.0,
andrew-soroh,Andrew Soroh,SAF/DB/S,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,
asantay-brown,Asantay Brown,DB,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,7.0,
austin-duke,Austin Duke,WR,,,,,,,,,,,,,,,,,,,2.0,11.0,19.0,,,3.0,,,,,,,,,,,,,,
austin-macginnis,Austin MacGinnis,K,,,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
austin-walter,Austin Walter,WR,,,,,,,,,,,,7.0,97.0,1.0,235.0,,,,,,,,,,,,,,,23.0,1.0,2.0,,6.0,,,,1.0
ben-heeney,Ben Heeney,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,7.0,
bryce-jones,Bryce Jones,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,
bunmi-rotimi,Bunmi Rotimi,DT/OLB/DL/DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,
cameron-artis-payne,Cameron Artis-Payne,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,6.0,,25.0,,,,
cavon-walker,Cavon Walker,DE/DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,5.0,
christian-kuntz,Christian Kuntz,LS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
colby-pearson,Colby Pearson,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,95.0,5.0,,,,,,,1.0
dc-defenders,DC Defenders,,,,,,,,3.0,15.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
djuan-hines,D\'Juan Hines,OLB/DB/LB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
dallas,Dallas,,,,,,,,,12.0,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
darius-victor,Darius Victor,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,15.0,,58.0,,,,
dashaun-phillips,Dashaun Phillips,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
demetrious-cox,Demetrious Cox,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,
derron-smith,Derron Smith,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,
donald-parham,Donald Parham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,4.0,,,,,,,2.0
donatello-brown,Donatello Brown,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,
dravon-askew-henry,Dravon Askew-Henry,SAF/DB/S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,
drew-galitz,Drew Galitz,P,,,,,,,,,,,,,,,,,,,,,,39.8,46.0,,199.0,5.0,19.0,3.0,,,,,,,,,,
ej-bibbs,EJ Bibbs,TE/WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,,,,,,,
flynn-nagel,Flynn Nagel,WR,,,,,,,,,,,,,,,,,,,1.0,13.0,23.0,,,2.0,,,,,,46.0,7.0,,,,,,,3.0
frank-alexander,Frank Alexander,DL/DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
frank-ginda,Frank Ginda,OLB/DB/LB,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,6.0,
freddie-martino,Freddie Martino,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,2.0,,,,,,,2.0
garret-dooley,Garret Dooley,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
gelen-robinson,Gelen Robinson,DL/DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,
greer-martini,Greer Martini,DB,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,10.0,
houston,Houston,,,,,,,,12.0,32.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jake-powell,Jake Powell,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,2.0,,,,,,,1.0
jake-sutherland,Jake Sutherland,TE/WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
jamar-summers,Jamar Summers,CB/DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,
james-folston,James Folston,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
jarrell-owens,Jarrell Owens,DL/DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
jawuan-johnson,Jawuan Johnson,DB/LB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,
jazz-ferguson,Jazz Ferguson,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,1.0,,,,,,,1.0
jeff-badet,Jeff Badet,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,3.0,,,,,,,
