player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,forced_fumbles,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
addison-mccauley,Addison McCauley,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,22.0,1.0,31.0,2.0,,,,,,,,,,,
ben-woodard,Ben Woodard,,0.0,,,1.0,13.0,1.0,,,,,,,,,,,8.0,48.9,0.0,4.0,440.0,9.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,6.0,5.0
benari-black,Benari Black,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1.0,1.0,,8.0,0.0,8.0,,,,,,,,,,,2.0,3.0,,,,
chase-alisauckas,Chase Alisauckas,LB,1.0,1.0,0.0,,,,,,,,,11.0,11.0,11.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,3.0,4.0,,,,
chris-perry,Chris Perry,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,1.0,0.0,,
cole-lundy,Cole Lundy,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,17.0,0.0,24.0,2.0,6.5,11.0,2.0,1.0,13.0,,,,,,
dwan-mathis,D'Wan Mathis,,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,
damond-powell,Damond Powell,WR,,,,,,,,,,,,,,,,3.0,,,,,,,17.7,28.0,0.0,53.0,,,,,,,16.8,41.0,1.0,67.0,4.0,3.0,12.0,13.0,0.0,39.0,,,,,,
deshayvion-mcrath,De'Shayvion Mcrath,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7.0,0.0,14.0,2.0,0.3,4.0,3.0,1.0,1.0,5.0,5.0,1.0,0.0,,
dee-reese,Dee Reese,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
desmond-raiford,Desmond Raiford,DL,0.0,,,,,,,,,,,,,,,4.0,,,,,,,26.3,45.0,1.0,105.0,,,,,,,,,,,,,,,,,6.0,6.0,1.0,0.0,,
dren-johnson,Dren Johnson,DB,2.0,,,,,,,,,,,,,,,1.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,2.0,4.0,,,,
erick-young,Erick Young,RB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
fred-bruno,Fred Bruno,WR,0.0,,,,,,,1.0,0.0,1.0,0.0,,,,1.0,,,,,,,,,,,,31.0,18.0,,41.0,4.0,231.0,,,,,,0.4,5.0,8.0,2.0,3.0,0.0,0.0,,,,
jarome-johnson,Ja\'Rome Johnson,QB,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,10.0,7.0,,30.0,1.0,87.0,,,,,,12.7,37.0,6.0,2.0,76.0,,,,,,
jamell-winn-ii,Jamell Winn Ii,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,
jaylen-perkins,Jaylen Perkins,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4,17.0,2.0,57.0,5.0,3.0,3.0,2.0,0.0,6.0,1.0,1.0,,,,
jaylon-abdual-karim,Jaylon Abdual-Karim,LB,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
juan-moore,Juan Moore,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9,28.0,1.0,83.0,7.0,,,,,,,,,,,
justin-mcgriff,Justin MCGRIFF,WR,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1.0,1.0,,9.0,0.0,9.0,13.3,30.0,0.0,53.0,4.0,,,,,,,,,,,
kevin-wade,Kevin Wade,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
landon-freeman,Landon Freeman,RB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,
laronji-vason-mccoy,Laronji Vason-McCoy,DB,,,,,,,,,,,,,,,,,4.0,43.3,0.0,1.0,303.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,6.0,4.0
maurice-jackson,Maurice Jackson,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,
quinton-williams,Quinton Williams,WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,1.5,0.0,,
rudy-ngougni,Rudy Ngougni,DL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,,
sammie-epps,Sammie Epps,WR,0.0,,,,,,,,,,,,,,,1.0,,,,,,,15.0,15.0,0.0,15.0,,,,,,,,,,,,5.0,5.0,1.0,0.0,5.0,1.0,1.0,,,,
td-ayo-durojaiye,TD Ayo-Durojaiye,,0.0,,,,,,,,,,,,,,,1.0,,,,,,,21.0,21.0,0.0,21.0,,,,,,,,,,,,-20.0,0.0,1.0,0.0,-20.0,1.0,1.0,,,,
tyler-clark,Tyler Clark,DL/DT,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,0.0,6.0,1.0,2.2,10.0,5.0,2.0,11.0,2.0,2.0,,,,
vincent-wilkerson,Vincent Wilkerson,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,0.0,,
