player_id,player_name,positions,1pt_conversion,blocked_punt,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
aj-mccarron,AJ McCarron,QB,1.0,,,,1.0,,,,1.0,115.0,,,,,0.0,12.0,
alize-mack,Alize Mack,TE,,,,,,,,,,,,0.0,8.0,1.0,,,
andre-szmyt,Andre Szmyt,K,,,70.0,,,,,,,,,,,,,,
battlehawks-dst,Battlehawks DST,DST,,1.0,,1.0,,1.0,,,,,12.0,,,,,,2.0
battlehawks-k,Battlehawks K,K,,,70.0,,,,,,,,,,,,,,
battlehawks-qb,Battlehawks QB,QB,1.0,,,,1.0,,,,1.0,115.0,,,,,0.0,12.0,
brahmas-dst,Brahmas DST,DST,,,,,,1.0,,,,,13.0,,,,,,3.0
brahmas-k,Brahmas K,K,,,,,,,,2.0,,,,,,,,,
brahmas-qb,Brahmas QB,QB,,,,,1.0,,,,1.0,228.0,,,,,0.0,5.0,
calvin-turner,Calvin Turner,WR/RB,,,,,,,,,,,,0.0,36.0,3.0,,,
chase-garbers,Chase Garbers,QB,,,,,1.0,,,,0.0,40.0,,,,,0.0,5.0,
darrius-shepherd,Darrius Shepherd,WR,,,,,,,,,,,,0.0,4.0,1.0,,,
hakeem-butler,Hakeem Butler,WR,,,,,,,,,,,,0.0,34.0,2.0,,,
jacob-saylors,Jacob Saylors,RB,,,,,,,,,,,,0.0,7.0,2.0,0.0,50.0,
jahcour-pearson,Jahcour Pearson,WR,,,,,,,,,,,,0.0,36.0,3.0,0.0,2.0,
jake-sutherland,Jake Sutherland,TE/WR,1.0,,,,,,,,,,,0.0,12.0,1.0,,,
jontre-kirklin,Jontre Kirklin,WR,,,,,,,,,,,,1.0,127.0,7.0,,,
justin-smith,Justin Smith,WR,,,,,,,,,,,,0.0,14.0,1.0,,,
kemari-averett,Kemari Averett,TE,,,,,,,,,,,,0.0,0.0,0.0,,,
landen-akers,Landen Akers,WR,,,,,,,,,,,,0.0,26.0,2.0,,,
marquez-stevenson,Marquez Stevenson,WR,,,,,,,,,,,,0.0,8.0,3.0,0.0,4.0,
morgan-ellison,Morgan Ellison,RB,,,,,,,1.0,,,,,,,,1.0,43.0,
pooka-williams,Pooka Williams,WR/RB,,,,,,,,,,,,,9.0,3.0,,4.0,
quinten-dormady,Quinten Dormady,QB,,,,,0.0,,,,1.0,188.0,,,,,,,
ryan-santoso,Ryan Santoso,K,,,,,,,,2.0,,,,,,,,,
steven-mitchell-jr,Steven Mitchell Jr.,WR,,,,,,,,,,,,1.0,22.0,1.0,,,
wayne-gallman,Wayne Gallman,RB,,,,,,,,,,,,0.0,0.0,0.0,0.0,41.0,
