player_id,player_name,positions,fg_made,pass_td,recv_td,rush_td
ashton-henry,Ashton Henry,K,1.0,,,
jakaylen-jackson,Jakaylen Jackson,DB,,,1.0,
jelani-baker,Jelani Baker,WR,,2.0,,
justin-clarkson,Justin Clarkson,WR,,,1.0,
kaytron-allen,Kaytron Allen,DB,,,,1.0
malik-allen,Malik Allen,LB,2.0,,,
tracy-brooks,Tracy Brooks,RB,,,1.0,
trayvon-culbert,Trayv'on Culbert,WR,,1.0,,
