player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,forced_fumbles,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
alexander-kekua,Alexander Kekua,OL,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,6.0,6.0,,,,
andre-sale,Andre Sale,QB,3.0,,,,,,,,,,,,,,40.4,0.0,1.0,283.0,7.0,,,,,,,,,,,,,,,,,,,,,8.0,1.0,5.0,8.0,4.0,0.0,,
ashton-henry,Ashton Henry,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,14.0,1.0,33.0,4.0,,,,,,,,,,,,,
away-jefferson,Away Jefferson,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,23.0,1.0,36.0,2.0,,,,,,,,1.0,1.0,,,,
blake-erickson,Blake Erickson,K,1.0,1.0,0.0,,,,,,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,,,,
brandon-unangst-refused-to-report,Brandon Unangst (Refused to Report),OL,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0
brian-price,Brian Price,LB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
cj-cain,CJ Cain,OL,,,,,,,,,,,,,1.0,,,,,,,32.0,32.0,0.0,32.0,,,,,,,8.0,8.0,0.0,8.0,1.0,,,,,,,,,,,,,
chase-baker,Chase Baker,OL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,13.0,0.0,13.0,1.0,,,,,,,,,,,,,
dajon-richard,Dajon Richard,ATH,0.0,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,
darrien-crowe,Darrien Crowe,K,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
