player_id,player_name,positions,assist_tackles,completions,fg_30_39,fg_50plus,fg_att_game,int_long,int_tds,int_yards,interceptions_lost,interceptions_made,kick_returns,kr_long,kr_yards,pass_attempts,passing_tds,passing_yards,pr_fc,pr_long,pr_yards,punt_avg,punt_long,punt_returns,punt_tb,punt_yards,punts,punts_blocked,punts_in20,receiving_tds,receiving_yards,receptions,rush_attempts,rushing_yards,sacks,solo_tackles,tackles,targets
aj-tarpley,A.J. Tarpley,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,
alonzo-moore,Alonzo Moore,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,,,,,,
anthony-johnson,Anthony Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
anthony-moten,Anthony Moten,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
antwione-williams,Antwione Williams,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,
austin-proehl,Austin Proehl,WR,,,,,,,,,,,,,,,,,1.0,7.0,13.0,,,2.0,,,,,,2.0,88.0,5.0,1.0,3.0,,1.0,1.0,4.0
bj-daniels,B.J. Daniels,QB,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
ben-johnson,Ben Johnson,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,1.0,,,,,,1.0
bradley-sylve,Bradley Sylve,CB/DB,,,,,,69.0,1.0,69.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
brandon-silvers,Brandon Silvers,QB,,21.0,,,,,,,2.0,,,,,40.0,3.0,217.0,,,,,,,,,,,,,,,1.0,1.0,,,,
brian-khoury,Brian Khoury,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
brock-miller,Brock Miller,P,,,,,,,,,,,,,,,,,,,,44.3,45.0,,1.0,133.0,3.0,3.0,2.0,,,,,,,,,
cardale-jones,Cardale Jones,QB,,16.0,,,,,,,,,,,,26.0,2.0,235.0,,,,,,,,,,,,,,,8.0,28.0,,,,
carlos-merritt,Carlos Merritt,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,
channing-stribling,Channing Stribling,CB/DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,
colin-jeter,Colin Jeter,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,,,,,,
dc-defenders,DC Defenders,,,,,,,6.0,31.0,9.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
dallas,Dallas,,,,,,,,9.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
des-lawrence,Des Lawrence,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,
