player_id,player_name,positions,assisted_tackles,def_interceptions,defensive_tds,fg_attempts,field_goal_long,field_goals_made,forced_fumbles,fumble_recoveries,fumble_recovery_yards,int_avg,int_long,int_yards,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
adrian-jefferson,Adrian Jefferson,RB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,,,,
alexander-kekua,Alexander Kekua,OL,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,0.0,9.0,1.0,3.5,14.0,13.0,1.0,46.0,,,2.0,2.0,1.0,0.0,,
blaine-espinosa,Blaine Espinosa,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,27.0,3.0,42.0,4.0,,,,,,,,,,,,,
brian-robinson,Brian Robinson,RB/WR,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
charles-baker,Charles Baker,OL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,18.0,0.0,33.0,2.0,,,,,,,,,,,,,
daizion-carroll,Daizion Carroll,OL,,,,,,,,,,,,,0.0,,,,,,,,,,,,19.0,12.0,,27.0,3.0,95.0,,,,,,7.2,11.0,6.0,0.0,43.0,,,,,,,,
david-ross,David Ross,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,0.0,4.0,1.0,,,,,,,,,,,,,
davonte-brown,Davonte Brown,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,2.0,3.0,3.0,2.0,0.0,,
demarius-washington,Demarius Washington,WR,1.0,1.0,0.0,,,,,,,28.0,28.0,28.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,5.0,6.0,,,,
devontae-tinsley,Devontae Tinsley,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,6.0,0.0,10.0,2.0,,,,,,,,,,,,,
dmorriyon-breaux,Dmorriyon Breaux,DB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
donovan-johnson,Donovan Johnson,WR,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,
dustin-hurst,Dustin Hurst,OL,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,3.0,,,,
