player_id,player_name,positions,extra_point,field_goal_yards,interceptions_lost,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
alexander-hollins,Alexander HOLLINS,WR,,,,,,,0.0,12.0,1.0,0.0,8.0,,
austin-mack,Austin Mack,WR,,,,,,,0.0,72.0,8.0,,,,
bc-dst,BC DST,DST,,,,,,19.0,,,,,,7.0,
bc-k,BC K,K,4.0,58.0,,,,,,,,,,,
bc-qb,BC QB,QB,,,1.0,1.0,283.0,,,,,,22.0,,
cody-fajardo,Cody FAJARDO,QB,,,0.0,0.0,280.0,,,,,1.0,57.0,,
david-cote,David Côté,K,1.0,149.0,,,,,,,,,,,
dominique-davis,Dominique Davis,QB,,,,,,,,,,1.0,1.0,,
dominique-rhymes,Dominique RHYMES,WR,,,,,,,0.0,37.0,2.0,,,,
hergy-mayala,Hergy Mayala,WR,,,,,,,0.0,15.0,1.0,,,,
james-tuck,James Tuck,FB,,,,,,,0.0,11.0,1.0,,,,
jeshrun-antwi,Jeshrun ANTWI,RB,,,,,,,0.0,0.0,1.0,,,,
jevon-cottoy,Jevon COTTOY,WR,,,,,,,1.0,55.0,4.0,,,,
kaion-julien-grant,Kaion JULIEN-GRANT,WR,,,,,,,0.0,49.0,5.0,0.0,17.0,,
keon-hatcher,Keon HATCHER,WR,,,,,,,0.0,68.0,6.0,,,,
lucky-whitehead,Lucky Whitehead,WR,,,,,,,0.0,38.0,5.0,,,,
mtl-dst,MTL DST,DST,,,,,,35.0,,,,,,3.0,
mtl-k,MTL K,K,1.0,149.0,,,,,,,,,,,
mtl-qb,MTL QB,QB,,,,,280.0,,,,,1.0,57.0,,
quartney-davis,Quartney Davis,WR,,,,,,,0.0,50.0,2.0,,,,
sean-whyte,Sean WHYTE,K,4.0,58.0,,,,,,,,,,,
tyler-snead,Tyler SNEAD,WR,,,,,,,0.0,61.0,4.0,,,,
vernon-adams-jr,Vernon ADAMS JR.,QB,,,1.0,1.0,283.0,,,,,,22.0,,
wesley-sutton,Wesley SUTTON,DB,,,,,,,,,,,,,5.0
william-stanback,William STANBACK,RB,,,,,,,,22.0,2.0,,17.0,,
