player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_tot,def_yds,def_ydsl,misc_td,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_fr,score_p,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
ac-leonard,A.C. Leonard,DL/DB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adarius-bowman,Adarius Bowman,SB/WR,,,,1.0,1.0,,,,,,,,,,,,63.0,9.0,15.0,,66.0,152.0,,,,,,,,,,,,,,,,,,,,
armanti-edwards,Armanti Edwards,WR,,,,,,,,,,,,,,,,,18.0,6.0,8.0,,38.0,60.0,,,,,,1.0,,1.0,5.0,,,6.0,1.0,1.0,,,,,,
brandyn-thompson,Brandyn Thompson,DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caleb-holley,Caleb Holley,WR,,,,,,,,,,,,,,,,,18.0,4.0,5.0,,11.0,60.0,,,,,,,,,,,,,,,,,,,,
chris-getzlaf,Chris Getzlaf,WR,,,,,,,,,,,,,,,,,11.0,1.0,2.0,,6.0,11.0,,,,,,,,,,,,,,,,,,,,
corvey-irvin,Corvey Irvin,DL/DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cory-watson,Cory Watson,WR,,,,,,,,,,,,,,,,,17.0,2.0,5.0,,9.0,21.0,,,,,,,,,,,,,,,,,,,,
curtis-steele,Curtis Steele,RB,,,,,,,,,,,,,,,,,16.0,3.0,4.0,,16.0,26.0,,,,,,13.0,25.0,,87.0,,,,,,,,,,,
darian-durant,Darian Durant,QB,,,,,,,,,29.0,20.0,1.0,18.0,8.0,1.0,,174.0,,,,,,,,,,,,5.0,25.0,1.0,61.0,,,6.0,1.0,1.0,,,,,,
deon-lacey,Deon Lacey,LB,,,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
derel-walker,Derel Walker,WR,,,,,,,,,,,,,,,,,12.0,5.0,8.0,,21.0,44.0,,,,,,,,,,,,,,,,,,,,
ed-gainey,Ed Gainey,DB,,,,5.0,5.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,6.0,,1.0,,,,,,
ese-mrabure-ajufo,Ese Mrabure-Ajufo,DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fred-bennett,Fred Bennett,DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
garry-peters,Garry Peters,DB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grant-shaw,Grant Shaw,P/K,,,,,,,,,,,,,,,,,,,,,,,95.0,3.0,2.0,12.0,196.0,,,,,,,1.0,,,,,,,,
greg-jones,Greg Jones,LB,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
greg-morris,Greg Morris,RB,,,,,,,,,,,,,,,,,8.0,1.0,1.0,,6.0,8.0,,,,,,,,,,,,,,,,,,,,
gregory-alexandre,Gregory Alexandre,DL/DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jc-sherritt,J.C. Sherritt,LB,,,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jabari-hunt,Jabari Hunt,DE/DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeff-knox-jr,Jeff Knox Jr.,LB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
joe-craig,Joe Craig,WR,,,,,,,,,,,,,,,,,,,,,,,10.0,2.0,,,12.0,,,,,,,,,,,,,,,
jonathan-newsome,Jonathan Newsome,DE/DL/DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
josh-bartel,Josh Bartel,P/K,,,,,,,,,,,,,,,,,,,,,,,86.0,10.0,5.0,27.0,487.0,,,,,,,2.0,,,,,,,,
justin-cox,Justin Cox,DB,1.0,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kacy-rodgers,Kacy Rodgers,DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kenny-ladler,Kenny Ladler,DB/LB,1.0,3.0,,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kenzel-doe,Kenzel Doe,WR,,,,,,,,,,,,,,,,,,,,,,,19.0,3.0,,,26.0,,,,,,,,,,,,,,,
korey-jones,Korey Jones,LB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
makana-henry,Makana Henry,DL/DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marcell-young,Marcell Young,DB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matt-webster,Matt Webster,DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mike-reilly,Mike Reilly,QB,,,,,,,,,36.0,19.0,1.0,,8.0,1.0,1.0,306.0,,,,,,,,,,,,6.0,13.0,,34.0,,,,,,,,,,,
nate-coehoorn,Nate Coehoorn,WR,,,,,,,,,,,,,,,,,,2.0,3.0,1.0,64.0,78.0,,,,,,,,,,,1.0,6.0,,1.0,,,,,,
neil-king,Neil King,DB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nic-demski,Nic DEMSKI,WR,,,,1.0,1.0,,,,,,,,,,,,8.0,4.0,6.0,,6.0,6.0,,,,,,1.0,-7.0,,-7.0,,,,,,,,,,,
odell-willis,Odell Willis,DE/DB,,,1.0,3.0,3.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otha-foster,Otha Foster,DB/LB,,,1.0,3.0,3.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
