player_id,player_name,positions,interceptions_lost,interceptions_made,passing_tds,passing_yards,points_against,rushing_tds,rushing_yards,sacks
cgy-dst,CGY DST,DST,,0.0,,,0.0,,,0.0
cgy-qb,CGY QB,QB,0.0,,2.0,210.0,,,,
edm-dst,EDM DST,DST,,0.0,,,0.0,,,0.0
edm-qb,EDM QB,QB,2.0,,1.0,173.0,,,,
nick-arbuckle,Nick ARBUCKLE,QB,1.0,,0.0,290.0,,0.0,12.0,
walter-fletcher,Walter FLETCHER,RB,,,,,,0.0,79.0,
