player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_tot,def_yds,def_ydsl,misc_td,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_fr,score_p,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
adrian-tracy,Adrian Tracy,DL/DB,,,1.0,1.0,1.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alden-darby,Alden Darby,LB/DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
armanti-edwards,Armanti Edwards,WR,,,,,,,,,,,,,,,,,19.0,6.0,8.0,,30.0,66.0,,,,,,,,,,,,,,,,,,,,
brandon-banks,Brandon Banks,WR,,,,1.0,1.0,,,,,,,,,,,,,6.0,13.0,1.0,43.0,98.0,12.0,3.0,,,23.0,,,,,,1.0,6.0,,1.0,,,,,,
brandon-harris,Brandon Harris,DB,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brandon-whitaker,Brandon Whitaker,RB,,,,,,,,,,,,,,,,,24.0,5.0,7.0,,40.0,49.0,,,,,,7.0,9.0,,27.0,,,,,,,,,,,
brian-tyms,Brian Tyms,WR,,,,,,,,,,,,,,,,,16.0,2.0,2.0,,3.0,23.0,,,,,,,,,,,,,,,,,,,,
cj-gable,C.J. Gable,RB,,,,,,,,,,,,,,,,,7.0,2.0,4.0,,12.0,12.0,22.0,3.0,,,47.0,6.0,15.0,1.0,43.0,,,6.0,1.0,1.0,,,,,,
cariel-brooks,Cariel Brooks,DB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cody-fajardo,Cody FAJARDO,QB,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,3.0,6.0,,10.0,,,,,,,,,,,
courtney-stephen,Courtney Stephen,DB,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
davon-coleman,Davon Coleman,DB/DT,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
devier-posey,DeVier Posey,WR,,,,,,,,,,,,,,,,,,5.0,7.0,2.0,12.0,47.0,,,,,,,,,,,2.0,12.0,,2.0,,,,,,
declan-cross,Declan Cross,RB/FB,,,,,,,,,,,,,,,,,5.0,2.0,2.0,,6.0,9.0,,,,,,,,,,,,,,,,,,,,
demond-washington,Demond Washington,DB,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dominique-ellis,Dominique Ellis,DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dylan-wynn,Dylan Wynn,DB/DT,,,1.0,3.0,3.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emanuel-davis,Emanuel Davis,DB,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
felix-faubert-lussier,Felix Faubert-Lussier,WR,,,,,,,,1.0,,,,,,,,,,,1.0,,,,12.0,1.0,,,12.0,,,,,1.0,,6.0,,1.0,,,,,,
giovanni-aprile,Giovanni Aprile,WR,,,,,,,,,,,,,,,,,,,,,,,38.0,1.0,,,38.0,,,,,,,,,,,,,,,
jalen-saunders,Jalen Saunders,WR,,,,,,,,,,,,,,,,,16.0,2.0,4.0,,13.0,29.0,,,,,,,,,,,,,,,,,,,,
james-wilder-jr,James Wilder Jr.,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,8.0,,9.0,,,,,,,,,,,
jason-neill,Jason Neill,DB/DT,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
