player_id,player_name,positions,dst_touchdown,extra_point,field_goal_yards,interceptions_lost,interceptions_made,lost_fumbles,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
anders-carlson,Anders Carlson,K/PK,,1.0,,,,,1.0,,,,,,,,,
anthony-mcfarland-jr,Anthony McFarland Jr,RB,,,,,,,,,,,0.0,4.0,1.0,0.0,13.0,
armani-rogers,Armani Rogers,TE,,,,,,,,,,,0.0,12.0,1.0,,,
birmingham-stallions-qb,BIRMINGHAM STALLIONS QB,DST/K/QB,1.0,6.0,,0.0,2.0,,1.0,1.0,112.0,26.0,,,,0.0,3.0,1.0
cam-sutton,Cam Sutton,TE,,,,,,,,,,,0.0,4.0,1.0,,,
deon-cain,Deon Cain,WR,,,,,,,,,,,0.0,9.0,2.0,,,
deonte-brown,Deonte Brown,OG,,6.0,,,,,,,,,,,,,,
dorian-thompson-robinson,Dorian Thompson-Robinson,QB,,,,0.0,,,,1.0,112.0,,,,,0.0,3.0,
houston-gamblers-dst,HOUSTON GAMBLERS DST,DST,,,,,0.0,,,,,7.0,,,,,,3.0
houston-gamblers-k,HOUSTON GAMBLERS K,K,,2.0,79.0,,,,,,,,,,,,,
houston-gamblers-qb,HOUSTON GAMBLERS QB,QB,,,,1.0,,,,0.0,119.0,,,,,1.0,77.0,
javonta-payton,JaVonta Payton,WR,,,,,,,,,,,0.0,13.0,1.0,,,
jabre-barber,Jabre Barber,WR,,,,,,,,,,,0.0,0.0,0.0,,,
jalen-white,Jalen White,RB,,,,,,,,,,,0.0,0.0,0.0,0.0,66.0,
jaydon-mickens,Jaydon Mickens,WR,,,,,,,,,,,0.0,42.0,3.0,,,
john-hoyland,John Hoyland,K,,2.0,79.0,,,,,,,,,,,,,
john-rhys-plumlee,John Rhys Plumlee,QB,,,,1.0,,,,0.0,119.0,,,,,1.0,77.0,
jontre-kirklin,Jontre Kirklin,WR,,,,1.0,,,,,,,0.0,8.0,2.0,,,
jordan-thomas-2,Jordan Thomas,TE,,,,,,,,,,,0.0,25.0,2.0,,,
justyn-ross,Justyn Ross,WR,,,,,,,,,,,0.0,0.0,0.0,,,
kaden-davis,Kaden Davis,WR,,,,,,,,,,,0.0,12.0,1.0,,,
kai-locksley-2,Kai Locksley,WR,,,,,,,,,,,0.0,8.0,1.0,,,
kirk-merritt,Kirk Merritt,RB,,,,,,,,,,,0.0,10.0,2.0,0.0,54.0,
kyric-mcgowan,Kyric McGowan,WR,,,,,,,,,,,1.0,23.0,2.0,,,
lawrence-keys-iii,Lawrence Keys III,WR,,,,,,,,,,,0.0,52.0,2.0,,,
marcus-major,Marcus Major,RB,,,,,,,,,,,,,,2.0,80.0,
ramello-dotson,Ra\'Mello Dotson,CB,,,,,,1.0,,,,,,,,,,
snoop-conner,Snoop Conner,RB,,,,,,,,,,,0.0,2.0,2.0,0.0,25.0,
tyrion-davis-price,Tyrion Davis-Price,RB,,,,,,,,,,,0.0,7.0,1.0,0.0,4.0,
