player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_runouts,match_played
a-mare,A Mare,,6.0,0.0,1.0,6.0,6.0,0.0,12.0,0.0,0.0,17.0,0.0,2.0,,1.0
a-samildeen,A Samildeen,,,,,,,,,,,,,,1.0,1.0
aisha-rahman,Aisha Rahman,,,,,,,,,,,,,,1.0,1.0
aleena-khan,Aleena Khan,,3.0,0.0,1.0,8.0,4.0,0.0,24.0,0.0,0.0,15.0,1.0,0.0,,1.0
aysha,Aysha,,15.0,2.0,0.0,3.0,18.0,0.0,12.0,0.0,0.0,15.0,0.0,2.0,,1.0
d-bhaskara,D Bhaskara,,2.0,0.0,1.0,5.0,1.0,0.0,12.0,0.0,0.0,14.0,1.0,2.0,,1.0
h-agarwal,H Agarwal,,42.0,1.0,0.0,2.0,22.0,0.0,24.0,0.0,0.0,29.0,0.0,2.0,1.0,1.0
hmd-rasangika,HMD Rasangika,,20.0,1.0,1.0,3.0,19.0,0.0,24.0,0.0,1.0,28.0,0.0,1.0,1.0,1.0
ke-pounsett,KE Pounsett,,11.0,1.0,0.0,5.0,12.0,0.0,,,,,,,,1.0
p-shetty,P Shetty,,2.0,0.0,0.0,4.0,2.0,0.0,24.0,0.0,0.0,16.0,1.0,5.0,,1.0
r-rodrigo,R Rodrigo,,50.0,3.0,0.0,2.0,43.0,0.0,,,,,,,,1.0
rs-quyn,RS Quyn,,,,,,,,24.0,0.0,0.0,21.0,0.0,1.0,,1.0
rizpha-bano,Rizpha Bano,,3.0,0.0,0.0,7.0,1.0,0.0,,,,,,,,1.0
s-dhadwal,S Dhadwal,,4.0,0.0,0.0,4.0,2.0,0.0,24.0,0.0,0.0,19.0,1.0,1.0,,1.0
s-jayasinghe,S Jayasinghe,,,,,,,,18.0,0.0,0.0,15.0,0.0,2.0,,1.0
s-nunna,S Nunna,,,,,,,,18.0,0.0,0.0,23.0,1.0,5.0,,1.0
shahreeennawab,Shahreeennawab,,38.0,1.0,0.0,1.0,31.0,0.0,,,,,,,,1.0
ti-gajanayake,TI Gajanayake,,46.0,6.0,0.0,1.0,43.0,0.0,24.0,0.0,1.0,19.0,1.0,0.0,1.0,1.0
