player_id,player_name,positions,completion_pct,field_goal_attempts,field_goal_long,field_goal_pct,field_goals_made,fumbles,fumbles_lost,games_played,interceptions,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_long,pass_yards_per_attempt,passer_rating,passing_tds,passing_yards,passing_yards_per_game,points,pr_avg,pr_tds,punt_returns,rec_avg,rec_long,receiving_tds,receiving_yards,receiving_yards_per_game,receptions,receptions_per_game,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,rushing_yards_per_game,total_yards,xp_attempts,xp_made,xp_pct,yards_per_game
brakins-smith,Brakins Smith,OL,,,,,,0.0,0.0,5.0,,2.0,,,,,,,,,,,,,,,,1.0,,,,0.0,,,,2.0,4.0,4.0,0.0,8.0,1.6,8.0,,,,1.6
cc-brooks,CC Brooks,FB/DL,,,,,,0.0,0.0,12.0,,1.3,,,,,,,,,,,,,,,,8.0,,,,7.0,,,,,0.0,0.0,1.0,2.0,0.0,0.5,,,,5.0
chris-martin,Chris Martin,OL,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,0.0,,0.0,,,,0.0
craig-peterson,Craig Peterson,K,,3.0,29.0,33.0,1.0,,,69.0,,1.0,,,,,,,,,,,,,69.0,,,1.0,,,,0.0,,,,,,,,7.7,,0.0,77.0,66.0,86.0,0.0
darius-prince,DARIUS PRINCE,WR,60.0,,,,,1.0,1.0,216.0,1.0,241.0,0.0,0.0,30.0,20.1,5.0,3.0,5.0,-0.8,13.3,0.0,-4.0,-0.4,,0.0,0.0,30.0,14.3,47.0,30.0,1042.0,115.8,73.0,8.1,0.8,2.0,9.0,6.0,24.0,0.8,1290.0,,,,143.3
darrell-myers,Darrell Myers,WR,,,,,,,,12.0,,4.0,,,,,,,,,,,,,,,,3.0,9.7,21.0,2.0,97.0,12.1,10.0,1.3,,,,,2.0,,97.0,,,,12.1
david-pindell,David Pindell,QB,60.0,,,,,3.0,1.0,12.0,0.0,0.0,,,,,10.0,6.0,30.0,6.8,183.1,2.0,68.0,17.0,,,,0.0,5.0,5.0,0.0,5.0,1.3,1.0,0.3,1.5,13.0,12.0,2.0,18.0,4.5,23.0,,,,5.8
gabe-ostrow,Gabe Ostrow,DL,,,,,,0.0,0.0,5.0,,2.6,,,,,,,,,,,,,,,,13.0,,,,8.0,,,,1.0,1.0,1.0,0.0,5.0,0.2,2.0,,,,15.0
harold-brantley,Harold Brantley,DL,,,,,,,,7.0,,1.3,,,,,,,,,,,,,,,,9.0,,,,4.0,,,,,,,,5.0,,3.5,,,,26.0
hez-terhan,Hez Terhan,DL,,,,,,,,5.0,,1.4,,,,,,,,,,,,,,,,7.0,,,,7.0,,,,,,,,0.0,,1.5,,,,15.0
jeramie-richardson,Jeramie Richardson,FB,,,,,,1.0,1.0,36.0,,0.0,,,,,,,,,,,,,,,,0.0,,,,6.0,,,,3.5,23.0,45.0,6.0,159.0,53.0,159.0,,,,53.0
kenneth-mcgruder,Kenneth McGruder,DB,,,,,,,,9.0,,6.6,,,,,,,,,,,,,,,,59.0,,,,15.0,,,,,,,,44.0,,0.0,,,,0.0
malachi-jones,Malachi Jones,WR,,,,,,0.0,0.0,18.0,,5.0,,,,,,,,,,,,,,,,3.0,8.1,30.0,3.0,267.0,66.8,33.0,8.3,0.5,3.0,2.0,0.0,4.5,0.3,268.0,,,,67.0
malik-brown,Malik Brown,DB,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,2.0,,,,0.0,,,,,,,,2.0,,0.0,,,,1.0
mo-ruffins,Mo Ruffins,OL,,,,,,,,1.0,,0.0,,,,,,,,,,,,,,,,0.0,6.0,6.0,0.0,6.0,6.0,1.0,1.0,,,,,0.0,,6.0,,,,6.0
nyree-quinerly,Nyree Quinerly,DB,,,,,,,,8.0,,4.6,,,,,,,,,,,,,,,,37.0,,,,17.0,,,,,,,,20.0,,0.0,,,,0.0
phillip-barnett,PHILLIP BARNETT,WR,,,,,,,,90.0,,3.0,0.0,0.0,2.0,2.0,,,,,,,,,,0.0,0.0,15.0,11.3,37.0,15.0,574.0,63.8,51.0,5.7,,,,,10.0,,576.0,,,,64.0
patrick-macon,Patrick Macon,LB,100.0,,,,,,,9.0,0.0,3.7,,,,,1.0,1.0,3.0,3.0,125.2,0.0,3.0,0.3,,,,33.0,,,,21.0,,,,,,,,12.0,,6.5,,,,39.0
rashaad-miller,Rashaad Miller,DL,,,,,,,,9.0,,1.6,,,,,,,,,,,,,,,,14.0,,,,9.0,,,,,,,,5.0,,2.0,,,,11.0
trevon-shorts,TREVON  SHORTS,RB,,,,,,,,7.0,,5.6,,,,,,,,,,,,,,,,39.0,,,,20.0,,,,,,,,19.0,,0.0,,,,0.0
tommy-grady,Tommy Grady,QB,69.5,,,,,1.0,0.0,9.0,8.0,,,,,,256.0,178.0,47.0,8.1,197.3,51.0,2081.0,231.2,,,,,,,,,,,,-3.5,0.0,6.0,0.0,-21.0,-2.3,,,,,
varmah-sonie,Varmah Sonie,DB,,,,,,,,4.0,,11.0,0.0,0.0,11.0,11.0,,,,,,,,,,0.0,0.0,20.0,5.0,5.0,0.0,9.0,1.3,1.0,0.3,,,,,11.0,,16.0,,,,4.0
