player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_p,score_pts,score_r,score_saf,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
adarius-pickett,Adarius Pickett,DB/LB,,,,,,,,,,,,,,,,,,,,,,-7.0,1.0,,,-7.0,,,,,,,,,,,,,,,
ahmad-thomas,Ahmad Thomas,DB/LB,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brandon-banks,Brandon Banks,WR,,,,,,,,,,,,,,,,22.0,5.0,7.0,1.0,17.0,58.0,,,,,,,,,,1.0,6.0,,,1.0,,,,,,
cameron-artis-payne,Cameron Artis-Payne,RB,,,,,,,,,,,,,,,,18.0,3.0,3.0,,31.0,33.0,17.0,2.0,,,33.0,1.0,2.0,,2.0,,,,,,,,,,,
cariel-brooks,Cariel Brooks,DB,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chris-ackie,Chris Ackie,DB/LB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
christophe-normand,Christophe Normand,FB/RB,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
david-côté,David Côté,K,,,,,,,,,,,,,,,,,,,,,,58.0,3.0,3.0,65.0,171.0,,,,,,4.0,,,,1.0,1.0,17.0,4.0,1.0,1.0
des-lawrence,Des Lawrence,DB,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
don-jackson,Don Jackson,RB,,,,1.0,1.0,,,,,,,,,,,8.0,2.0,3.0,,8.0,15.0,,,,,,13.0,9.0,1.0,46.0,,6.0,1.0,,1.0,,,,,,
dylan-wynn,Dylan Wynn,DB/DT,,,2.0,1.0,1.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eugene-lewis,Eugene LEWIS,WR,,,,1.0,1.0,,,,,,,,,,,46.0,6.0,9.0,1.0,11.0,127.0,,,,,,,,,,1.0,6.0,,,1.0,,,,,,
greg-reid,Greg Reid,DB,,,,4.0,4.0,,,,,,,,,,,,,,,,,18.0,6.0,,,47.0,,,,,,,,,,,,,,,
jagared-davis,Ja'Gared Davis,DB,,,2.0,3.0,3.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jaelon-acklin,Jaelon Acklin,WR,,,,,,,,,,,,,,,,19.0,5.0,6.0,,4.0,56.0,,,,,,,,,,,,,,,,,,,,
jake-wieneke,Jake Wieneke,WR,,,,,,,,,,,,,,,,12.0,6.0,9.0,,18.0,59.0,,,,,,,,,,,,,,,,,,,,
jamal-davis,Jamal Davis,DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jeremiah-masoli,Jeremiah MASOLI,QB,,,,,,,,28.0,18.0,,24.0,10.0,1.0,1.0,184.0,,,,,,,,,,,,2.0,4.0,,5.0,,,,,,,,,,,
joe-zema,Joe Zema,DB,,,,,,,,,,,,,,,,,,,,,,51.0,7.0,6.0,38.0,303.0,,,,,,,,,,,,,,,
joel-whitford,Joel Whitford,K/P,,,,,,,,,,,,,,,,,,,,,,51.0,8.0,7.0,39.0,350.0,,,,,,,,,,,,,,,
jovan-santos-knox,Jovan Santos-Knox,LB,,,1.0,8.0,8.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
julian-howsare,Julian Howsare,DB/DE/DL,,,1.0,4.0,4.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jumal-rolle,Jumal Rolle,DB,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kaion-julien-grant,Kaion JULIEN-GRANT,WR,,,,,,,,,,,,,,,,28.0,3.0,4.0,,4.0,45.0,,,,,,,,,,,,,,,,,,,,
kameron-kelly,Kameron Kelly,DB/S/SS,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marc-antoine-dequoy,Marc-Antoine Dequoy,DB,,,1.0,1.0,1.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
michael-domagala,Michael Domagala,K/P,,,,,,,,,,,,,,,,,,,,,,59.0,3.0,3.0,26.0,168.0,,,,,,11.0,,,,3.0,3.0,38.0,11.0,2.0,2.0
michael-wakefield,Michael Wakefield,DB/DL,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monshadrik-hunter,Monshadrik Hunter,DB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,
najee-murray,Najee Murray,CB/DB/LB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nikola-kalinic,Nikola Kalinic,FB/TE,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
papi-white,Papi White,WR,,,,,,,,,,,,,,,,,,,,,,24.0,3.0,,,65.0,1.0,2.0,,2.0,,,,,,,,,,,
patrick-levels,Patrick Levels,DB/LB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quan-bray,Quan Bray,RB/WR,,,,1.0,1.0,,,,,,,,,,,15.0,4.0,8.0,,8.0,38.0,,,,,,,,,,,,,,,,,,,,
reggie-white,Reggie White,WR,,,,,,,,,,,,,,,,19.0,4.0,6.0,,8.0,39.0,,,,,,,,,,,,,,,,,,,,
rodney-randle,Rodney Randle,DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,-8.0,1.0,,,-8.0,,,,,,,,,,,,,,,
sean-thomas-erlington,Sean THOMAS ERLINGTON,RB,,,,,,,,,,,,,,,,2.0,2.0,3.0,,-1.0,1.0,,,,,,,,,,,,,,,,,,,,
shea-patterson,Shea Patterson,QB,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,5.0,,,,,,,,,,,
simoni-lawrence,Simoni Lawrence,LB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stavros-katsantonis,Stavros Katsantonis,DB,1.0,22.0,,2.0,2.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
steven-dunbar,Steven Dunbar,WR,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,
ted-laurent,Ted Laurent,DB/DT,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tim-white,Tim White,WR,,,,,,,,,,,,,,,,24.0,4.0,4.0,,45.0,54.0,,,,,,,,,,,,,,,,,,,,
trevor-harris,Trevor HARRIS,QB,,,,1.0,1.0,,,44.0,28.0,1.0,46.0,39.0,6.0,1.0,364.0,,,,,,,,,,,,1.0,10.0,,10.0,,,,,,,,,,,
tunde-adeleke,Tunde Adeleke,DB,,,,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ty-cranston,Ty Cranston,DB,,,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
william-stanback,William STANBACK,RB,,,,1.0,1.0,,,,,,,,,,,14.0,2.0,4.0,,17.0,23.0,,,,,,12.0,8.0,,29.0,,,,,,,,,,,
woody-baron,Woody Baron,DB/DL,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
