player_id,player_name,positions,interceptions,interceptions_lost,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
demarius-washington,Demarius Washington,WR,,,,,2.0,147.0,9.0,,
edward-smith,Edward Smith,WR,,,,,3.0,121.0,9.0,,
jairus-grissom,Jairus Grissom,QB,,,,,1.0,55.0,4.0,0.0,7.0
jalen-morton,Jalen Morton,QB,2.0,,3.0,236.0,,,,3.0,57.0
javin-kilgo,Javin Kilgo,QB,0.0,,2.0,119.0,,,,1.0,5.0
logan-wright,Logan Wright,RB,,,,,,,,0.0,2.0
malik-honeycutt,Malik Honeycutt,WR,,,,,0.0,100.0,8.0,,
rakeem-cato,Rakeem Cato,QB,1.0,,3.0,202.0,,,,,
salina-qb,SALINA QB,QB,,,5.0,321.0,,,,1.0,5.0
sw-kansas-qb,SW KANSAS QB,QB,,2.0,3.0,236.0,,,,3.0,57.0
tracy-brooks,Tracy Brooks,RB,,,,,1.0,98.0,10.0,0.0,18.0
