player_id,player_name,positions,conversions,extra_point,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,safety
alex-collins,Alex Collins,RB,,,,,,,,,,,,0.0,10.0,2.0,0.0,37.0,,
alex-kessman,Alex Kessman,K,,,,,,,,1.0,,,,,,,,,,
alex-mcgough,Alex McGough,QB,,,,,0.0,,,,4.0,302.0,,,,,0.0,32.0,,
anthony-brown,Anthony Brown,QB,,,,,1.0,,,,1.0,142.0,,0.0,0.0,0.0,0.0,20.0,,
austin-watkins,Austin Watkins,WR,,,,,,,,,,,,0.0,42.0,3.0,,,,
brady-white,Brady White,QB,,,,,1.0,,,,0.0,141.0,,,,,0.0,12.0,,
brandon-aubrey,Brandon Aubrey,PK/K,,6.0,,,,,,,,,,,,,,,,
cj-marable,CJ Marable,RB,,,,,,,,,,,,0.0,9.0,1.0,0.0,67.0,,
chris-blewitt,Chris Blewitt,K,,,41.0,,,,,,,,,,,,,,,
dae-dae-hunter,Dae Dae Hunter,RB,,,,,,,,,,,,0.0,22.0,2.0,0.0,63.0,,
daniel-helm,Daniel Helm,TE,,,,,,,,,,,,0.0,1.0,1.0,,,,
davion-davis,Davion Davis,WR,,,,,,,,,,,,1.0,47.0,4.0,,,,
deon-cain,Deon Cain,WR,,,,,,,,,,,,0.0,27.0,2.0,,,,
deontay-burnett,Deontay Burnett,WR,1.0,,,,,,,,,,,1.0,27.0,3.0,,,,
emmanuel-butler,Emmanuel Butler,WR,,,,,,,,,,,,1.0,17.0,1.0,,,,
georquarius-spivey,Geor\'Quarius Spivey,TE,,,,,,,,,,,,0.0,17.0,1.0,,,,
isaiah-winstead,Isaiah Winstead,WR,,,,,,,,,,,,0.0,73.0,7.0,,,,
javonta-payton,JaVonta Payton,WR,,,,,,,,,,,,0.0,24.0,2.0,,,,
jace-sternberger,Jace Sternberger,TE,,,,,,,,,,,,1.0,126.0,5.0,,,,
john-franklin-iii,John Franklin III,WR,,,,,,,,,,,,0.0,11.0,1.0,0.0,8.0,,
john-mitchell,John Mitchell,TE/WR,,,,,,,,,,,,,12.0,1.0,,,,
josh-pederson,Josh Pederson,RB/TE/WR,,,,,,,,,,,,0.0,0.0,0.0,,,,
justin-hall,Justin Hall,WR,,,,,,,,,,,,0.0,11.0,1.0,,,,
kalen-ballage,Kalen Ballage,RB,,,,,,,,,,,,0.0,0.0,1.0,0.0,38.0,,
keke-chism,Keke Chism,WR,,,,,,,,,,,,0.0,28.0,2.0,,,,
kirk-merritt,Kirk Merritt,RB,,,,,,,,,,,,0.0,16.0,3.0,0.0,14.0,,
lawrence-keys-iii,Lawrence Keys III,WR,,,,,,,,,,,,0.0,15.0,2.0,,,,
lorenzo-lingard,Lorenzo Lingard,RB,,,,,,,,,,,,,,,0.0,6.0,,
lucas-havrisik,Lucas Havrisik,PK/K,,,27.0,,,,,1.0,,,,,,,,,,
luis-perez,Luis Perez,QB,1.0,,,,0.0,,,,1.0,211.0,,,,,0.0,-1.0,,
marcus-simms,Marcus Simms,WR,,,,,,,,,,,,1.0,12.0,3.0,0.0,-7.0,,
myron-mitchell,Myron Mitchell,WR,,,,,,,,,,,,1.0,33.0,4.0,,,,
nolan-henderson,Nolan Henderson,QB,,,,,0.0,,,,0.0,0.0,,,,,0.0,7.0,,
rashard-davis,Rashard Davis,WR,,,,,,,,,,,,0.0,16.0,1.0,,,,
renegades-dst,Renegades DST,DST,,,,,,1.0,,,,,9.0,,,,,,2.0,
renegades-k,Renegades K,K,,,27.0,,,,,1.0,,,,,,,,,,
renegades-qb,Renegades QB,QB,1.0,,,,0.0,,,,1.0,211.0,,,,,0.0,-1.0,,
roughnecks-dst,Roughnecks DST,DST,,,,1.0,,0.0,,,,,11.0,,,,,,3.0,
roughnecks-k,Roughnecks K,K,,,41.0,,,,,,,,,,,,,,,
roughnecks-qb,Roughnecks QB,QB,,,,,1.0,,,,1.0,142.0,,,,,0.0,27.0,,
ryan-mcdaniel,Ryan McDaniel,WR,,,,,,,,,,,,0.0,29.0,2.0,,,,
ryan-willis,Ryan Willis,QB,,,,,0.0,,,,0.0,-2.0,,,,,,,,
showboats-k,SHOWBOATS K,K,,,,,,,,1.0,,,,,,,,,,
showboats-qb,SHOWBOATS QB,QB,,,,,1.0,,,,0.0,139.0,,,,,0.0,0.0,,
sal-cannella,Sal Cannella,TE,,,,,,,1.0,,,,,0.0,39.0,2.0,,,,
seth-green,Seth Green,TE,,,,,,,,,,,,0.0,12.0,1.0,,,,
showboats-dst,Showboats DST,DST,,,,,,0.0,,,,,42.0,,,,,,3.0,1.0
stallions-dst,Stallions DST,DST,,,,1.0,,1.0,,,,,0.0,,,,,,3.0,
stallions-k,Stallions K,K,,6.0,,,,,,,,,,,,,,,,
stallions-qb,Stallions QB,QB,,,,,0.0,,,,4.0,302.0,,,,,0.0,0.0,,
tj-vasher,T.J. Vasher,WR,,,,,,,,,,,,0.0,23.0,1.0,,,,
thaddeus-moss,Thaddeus Moss,FB/TE,,,,,,,,,,,,1.0,7.0,1.0,,,,
tyler-vaughns,Tyler Vaughns,WR,,,,,,,,,,,,0.0,14.0,1.0,,,,
vinny-papale,Vinny Papale,WR,,,,,,,,,,,,0.0,42.0,5.0,,,,
zaquandre-white,ZaQuandre White,RB,,,,,,,,,,,,0.0,26.0,3.0,2.0,88.0,,
