player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,match_played
ad-hales,AD Hales,,21.0,3.0,0.0,2.0,26.0,1.0,,,,,,,1.0
au-rashid,AU Rashid,,,,,,,,18.0,0.0,0.0,34.0,0.0,0.0,1.0
bm-duckett,BM Duckett,,22.0,7.0,0.0,4.0,43.0,0.0,,,,,,,1.0
babar-azam,Babar Azam,,66.0,11.0,1.0,2.0,110.0,5.0,,,,,,,1.0
dj-malan,DJ Malan,,1.0,0.0,0.0,3.0,0.0,0.0,,,,,,,1.0
dj-willey,DJ Willey,,,,,,,,21.0,0.0,0.0,44.0,0.0,0.0,1.0
hc-brook,HC Brook,,19.0,1.0,0.0,5.0,31.0,3.0,,,,,,,1.0
haris-rauf,Haris Rauf,,,,,,,,24.0,0.0,0.0,30.0,2.0,0.0,1.0
l-wood,L Wood,,,,,,,,24.0,0.0,0.0,49.0,0.0,5.0,1.0
la-dawson,LA Dawson,,,,,,,,24.0,0.0,0.0,26.0,0.0,0.0,1.0
mm-ali,MM Ali,,23.0,4.0,1.0,6.0,55.0,4.0,6.0,0.0,0.0,21.0,0.0,0.0,1.0
mohammad-hasnain,Mohammad Hasnain,,,,,,,,24.0,0.0,1.0,51.0,0.0,0.0,1.0
mohammad-nawaz-3,Mohammad Nawaz (3),,,,,,,,24.0,0.0,0.0,40.0,1.0,0.0,1.0
mohammad-rizwan,Mohammad Rizwan,,51.0,5.0,1.0,1.0,88.0,4.0,,,,,,,1.0
pd-salt,PD Salt,,27.0,1.0,0.0,1.0,30.0,1.0,,,,,,,1.0
sm-curran,SM Curran,,8.0,1.0,1.0,7.0,10.0,0.0,24.0,0.0,0.0,29.0,0.0,0.0,1.0
shahnawaz-dhani,Shahnawaz Dhani,,,,,,,,24.0,0.0,0.0,37.0,2.0,1.0,1.0
usman-qadir,Usman Qadir,,,,,,,,24.0,0.0,0.0,41.0,0.0,1.0,1.0
