player_id,player_name,positions,1pt_conversion,conversions,field_goal_yards,interceptions_lost,interceptions_made,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
alex-ellis,Alex Ellis,TE,,1.0,,,,,,,1.0,58.0,4.0,,,
andre-szmyt,Andre Szmyt,K,,,63.0,,,,,,,,,,,
battlehawks-dst,Battlehawks DST,DST,,,,,2.0,,,21.0,,,,,,2.0
battlehawks-k,Battlehawks K,K,,,63.0,,,,,,,,,,,
battlehawks-qb,Battlehawks QB,QB,,1.0,,0.0,,0.0,126.0,,,,,0.0,79.0,
brandon-smith-2,Brandon Smith,WR,,,,,,,,,0.0,40.0,4.0,,,
camron-harris,Cam\'Ron Harris,RB,,,,,,,,,0.0,0.0,0.0,0.0,3.0,
chris-rowland,Chris Rowland,WR,,,,,,,,,0.0,34.0,5.0,,,
darius-hagans,Darius Hagans,RB,,,,,,,,,0.0,-4.0,1.0,0.0,37.0,
darrius-shepherd,Darrius Shepherd,WR,,,,,,,,,0.0,0.0,0.0,,,
defenders-dst,Defenders DST,DST,,,,,0.0,,,26.0,,,,,,4.0
defenders-k,Defenders K,K/QB,1.0,1.0,97.0,2.0,,2.0,212.0,,,,,0.0,30.0,
hakeem-butler,Hakeem Butler,WR,,,,,,,,,0.0,39.0,3.0,,,
jacob-saylors,Jacob Saylors,RB,,,,,,,,,0.0,14.0,1.0,1.0,27.0,
jake-sutherland,Jake Sutherland,TE/WR,,,,,,,,,0.0,13.0,2.0,,,
jalan-mcclendon,Jalan McClendon,QB,,,,0.0,,0.0,16.0,,,,,,,
jamarcus-bradley,Jamarcus Bradley,WR,,,,,,,,,0.0,0.0,0.0,,,
jordan-taamu,Jordan Ta\'amu,QB,1.0,1.0,,2.0,,2.0,196.0,,,,,0.0,30.0,
kaden-smith,Kaden Smith,TE,1.0,,,,,,,,,,,,,
keke-coutee,Keke Coutee,WR,,,,,,,,,0.0,6.0,1.0,0.0,19.0,
kemari-averett,Kemari Averett,TE,,1.0,,,,,,,0.0,22.0,2.0,,,
manny-wilkins,Manny Wilkins,QB,,1.0,,0.0,,0.0,126.0,,,,,0.0,79.0,
matthew-mccrane,Matthew McCrane,K,,,97.0,,,,,,,,,,,
ty-scott,Ty Scott,WR,,,,,,,,,1.0,69.0,6.0,,,
vyncint-smith,Vyncint Smith,WR,,,,,,,,,0.0,8.0,1.0,,,
wayne-gallman,Wayne Gallman,RB,,,,,,,,,0.0,38.0,1.0,2.0,35.0,
