player_id,player_name,positions,extra_point,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
abram-smith,Abram Smith,RB,,,,,,,,,,,,,,0.0,35.0,
ben-bresnahan,Ben Bresnahan,TE,,,,,,,,,,,0.0,0.0,0.0,,,
braylon-sanders,Braylon Sanders,WR,,,,,,,,,,,0.0,8.0,1.0,,,
cam-camper,Cam Camper,WR,,,,,,,,,,,1.0,49.0,3.0,,,
chris-rowland,Chris Rowland,WR,,,,,,,,,,,1.0,117.0,8.0,,,
cornell-powell,Cornell Powell,WR,,,,,,,,,,,0.0,40.0,4.0,,,
defenders-dst,Defenders DST,DST,,,,,0.0,,,,,27.0,,,,,,1.0
defenders-k,Defenders K,K/QB,1.0,169.0,,0.0,,1.0,1.0,0.0,160.0,,,,,0.0,75.0,
deon-jackson,Deon Jackson,RB,,,,,,,,,,,0.0,32.0,1.0,1.0,64.0,
elijah-dotson,Elijah Dotson,RB,,,,,,,,,,,0.0,3.0,1.0,0.0,4.0,
elijhah-badger,Elijhah Badger,WR,,,,,,,,,,,1.0,82.0,5.0,,,
erik-ezukanma,Erik Ezukanma,WR,,,,,,,,,,,0.0,0.0,0.0,,9.0,
jack-plummer,Jack Plummer,QB,,,,0.0,,,,3.0,275.0,,,,,0.0,-4.0,
jashaun-corbin,Jashaun Corbin,RB,,,,,,,,,,,0.0,3.0,1.0,0.0,52.0,
javon-antonio,Javon Antonio,WR,,,,,,,,,,,0.0,13.0,1.0,,,
kj-hamler,KJ Hamler,WR,,,,,,,,,,,0.0,6.0,1.0,,,
keke-coutee,Keke Coutee,WR,,,,,,,,,,,0.0,45.0,1.0,,,
mason-fairchild,Mason Fairchild,TE,,,,,,,,,,,0.0,22.0,2.0,,,
matt-mccrane,Matt McCrane,K,1.0,169.0,,,,,1.0,,,,,,,,,
michael-lantz,Michael Lantz,K,3.0,86.0,,,,,1.0,,,,,,,,,
orlando-storm-dst,ORLANDO STORM DST,DST,,,1.0,,0.0,,,,,19.0,,,,,,3.0
orlando-storm-k,ORLANDO STORM K,K,3.0,86.0,,,,,1.0,,,,,,,,,
orlando-storm-qb,ORLANDO STORM QB,QB,,,,0.0,,,,3.0,275.0,,,,,0.0,-4.0,
paxton-brooks,Paxton Brooks,P,,,,,,,,,,,,,,0.0,2.0,
sam-wiglusz,Sam Wiglusz,WR,,,,,,,,,,,0.0,13.0,1.0,,,
spencer-sanders,Spencer Sanders,QB,,,,0.0,,1.0,,0.0,160.0,,,,,0.0,75.0,
steven-stilianos,Steven Stilianos,TE,,,,,,,,,,,0.0,2.0,1.0,,,
ty-scott,Ty Scott,WR,,,,,,,,,,,0.0,0.0,0.0,,,
xazavian-valladay,Xazavian Valladay,RB,,,,,,,,,,,,,,0.0,17.0,
