player_id,player_name,positions,assists,blocks,callahans,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,stalls,throwAttempts,throwaways,yardsReceived,yardsThrown
alex-atkins,Alex Atkins,P,1.0,1.0,,23.0,20.0,,3.0,2.0,2.0,1.0,,22.0,2.0,188.0,206.0
alex-tatum,Alex Tatum,P,2.0,,,12.0,9.0,,4.0,,,,,9.0,,147.0,79.0
antoine-davis,Antoine Davis,P,,2.0,,1.0,,,,,,,,,,11.0,
atkin-arnstein,Atkin Arnstein,P,,,,3.0,3.0,,,1.0,,,,3.0,,76.0,2.0
ben-jagt,Ben Jagt,P,2.0,1.0,,11.0,7.0,,4.0,,,15.0,,7.0,,197.0,66.0
ben-katz,Ben Katz,P,,0.0,,14.0,16.0,,,2.0,,,,16.0,,-25.0,118.0
bretton-tan,Bretton Tan,P,,1.0,0.0,9.0,10.0,,0.0,,,,,10.0,0.0,45.0,72.0
cody-spicer,Cody Spicer,P,2.0,1.0,,8.0,13.0,,,2.0,1.0,,,14.0,1.0,20.0,92.0
connor-olson,Connor Olson,P,,1.0,,14.0,14.0,,2.0,,,,,14.0,,114.0,79.0
conor-tabor,Conor Tabor,P,,,,6.0,4.0,,1.0,1.0,1.0,,,4.0,,23.0,77.0
elliott-chartock,Elliott Chartock,P,2.0,,,34.0,42.0,,0.0,4.0,,,,43.0,0.0,60.0,456.0
ethan-fortin,Ethan Fortin,P,,0.0,,8.0,9.0,,,,,,,9.0,0.0,21.0,47.0
felix-pronove,Felix Pronove,P,,,,1.0,1.0,,,,,,,1.0,,-2.0,12.0
jack-williams,Jack Williams,P,2.0,,,35.0,29.0,,4.0,3.0,1.0,,,30.0,1.0,373.0,156.0
jay-froude,Jay Froude,P,1.0,,,17.0,14.0,,2.0,,,,,15.0,1.0,177.0,51.0
jeff-babbitt,Jeff Babbitt,P,,,,14.0,6.0,,7.0,2.0,,,,7.0,,232.0,10.0
jeff-holm,Jeff Holm,P,1.0,,,3.0,4.0,,,0.0,,,,4.0,,18.0,19.0
john-lithio,John Lithio,P,,,,18.0,18.0,0.0,3.0,,,,,20.0,,257.0,202.0
john-randolph,John Randolph,P,2.0,1.0,,18.0,17.0,,,,0.0,,,18.0,1.0,119.0,36.0
jonathan-nethercutt,Jonathan Nethercutt,P,3.0,,,29.0,34.0,,,1.0,,,1.0,38.0,4.0,134.0,351.0
josue-alorro,Josue Alorro,P,,,,5.0,4.0,,1.0,,,,,4.0,0.0,47.0,44.0
justin-abel,Justin Abel,P,,,,3.0,3.0,,,1.0,,,,3.0,,10.0,2.0
marques-brownlee,Marques Brownlee,P,,0.0,,0.0,0.0,,,,,0.0,,0.0,,0.0,0.0
mathieu-agee,Mathieu Agee,P,,,,2.0,2.0,,,,,,,2.0,,23.0,-4.0
matt-jackson,Matt Jackson,P,,,,23.0,21.0,,,1.0,,,,23.0,1.0,60.0,132.0
nicholas-snuszka,Nicholas Snuszka,P,,,,1.0,1.0,,,,,,,1.0,,8.0,2.0
noah-coolman,Noah Coolman,P,1.0,,,6.0,5.0,,1.0,,,,,5.0,,20.0,42.0
oliver-chartock,Oliver Chartock,P,1.0,,,18.0,13.0,,2.0,0.0,0.0,,,16.0,3.0,61.0,50.0
quinn-finer,Quinn Finer,P,4.0,1.0,,36.0,34.0,,,2.0,2.0,,,36.0,2.0,458.0,233.0
ryan-drost,Ryan Drost,P,,,,8.0,9.0,,0.0,,,,,9.0,,84.0,26.0
ryan-holmes,Ryan Holmes,P,,,,2.0,2.0,,,,,8.0,,2.0,0.0,29.0,9.0
ryan-osgar,Ryan Osgar,P,9.0,,,33.0,33.0,,0.0,1.0,,,,33.0,0.0,308.0,345.0
saeed-semrin,Saeed Semrin,P,1.0,1.0,,7.0,6.0,,,,,7.0,,8.0,2.0,44.0,21.0
sam-goldstein,Sam Goldstein,P,,,,27.0,35.0,1.0,1.0,2.0,,,,37.0,2.0,81.0,245.0
sandford-brown,Sandford Brown,P,,1.0,,2.0,2.0,,,,,,,2.0,,18.0,-4.0
seth-faris,Seth Faris,P,,,,1.0,,,1.0,,,9.0,,,,18.0,
shashank-alladi,Shashank Alladi,P,0.0,,,0.0,1.0,,,,0.0,,,1.0,,0.0,-6.0
solomon-rueschemeyer-bailey,Solomon Rueschemeyer-Bailey,P,,,,28.0,40.0,,,4.0,,,,41.0,,94.0,287.0
tyler-nguyen,Tyler Nguyen,P,,,,1.0,1.0,,,,,,,1.0,,12.0,11.0
