player_id,player_name,positions,fg_made,pass_td,recv_td,rush_td
alexander-kekua,Alexander Kekua,OL,,2.0,,
brandon-sheperd,Brandon Sheperd,,,,1.0,
carlos-vazquez,Carlos Vazquez,K,1.0,,,
darin-hungerford,Darin Hungerford,LB,,2.0,,
jamarii-milliken,Jamarii Milliken,DB/LB,,,1.0,
ladarius-galloway,LaDarius Galloway,RB,,,,1.0
tyler-cassel,Tyler Cassel,DL,,,1.0,
vincent-wilkerson,Vincent Wilkerson,,,,1.0,1.0
