player_id,player_name,positions,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,match_played
a-gardner,A Gardner,,,,,,,,12.0,0.0,0.0,11.0,2.0,1.0,1.0
a-king,A King,,,,,,,,6.0,0.0,0.0,8.0,3.0,2.0,1.0
aliya-riaz,Aliya Riaz,,1.0,0.0,0.0,7.0,0.0,0.0,,,,,,,1.0
ayesha-naseem,Ayesha Naseem,,1.0,0.0,0.0,6.0,0.0,0.0,,,,,,,1.0
bismah-maroof,Bismah Maroof,,5.0,0.0,0.0,3.0,1.0,0.0,,,,,,,1.0
d-brown,D Brown,,,,,,,,12.0,0.0,2.0,22.0,0.0,5.0,1.0
fatima-sana,Fatima Sana,,4.0,0.0,1.0,8.0,1.0,0.0,,,,,,,1.0
iram-javed,Iram Javed,,10.0,2.0,0.0,1.0,12.0,0.0,,,,,,,1.0
kainat-imtiaz,Kainat Imtiaz,,1.0,0.0,0.0,5.0,0.0,0.0,,,,,,,1.0
ml-schutt,ML Schutt,,,,,,,,12.0,0.0,0.0,6.0,1.0,1.0,1.0
muneeba-ali,Muneeba Ali,,14.0,1.0,0.0,2.0,4.0,0.0,,,,,,,1.0
nida-dar,Nida Dar,,14.0,1.0,1.0,4.0,10.0,0.0,,,,,,,1.0
tm-mcgrath,TM McGrath,,,,,,,,6.0,0.0,0.0,4.0,0.0,0.0,1.0
