player_id,player_name,positions,fg_made,pass_td,recv_td
brandon-munoz,Brandon Munoz,DL,,3.0,
cameron-george,Cameron George,DL,,,1.0
jo-el-shaw,Jo-El Shaw,RB,,,1.0
luiz-ferreira,Luiz Ferreira,K,,,1.0
nashawn-jackson,Nashawn Jackson,OL,,,1.0
travis-taylor,Travis Taylor,DL,,1.0,
zuri-davis,Zuri Davis,WR,1.0,,
