player_id,player_name,positions,blocked_punt,conversions,dst_touchdown,extra_point,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
anthony-ratliff-williams,Anthony Ratliff-Williams,WR,,,,,,,,,,,,,,1.0,55.0,4.0,,,
battlehawks-dst,Battlehawks DST,DST,,,1.0,,,,,1.0,,,,,18.0,,,,,,2.0
battlehawks-k,Battlehawks K,K,,,,,139.0,,,,,,,,,,,,,,
battlehawks-qb,Battlehawks QB,QB,,,,,,,2.0,,1.0,,0.0,78.0,,,,,0.0,38.0,
blake-jackson,Blake Jackson,WR,,,,,,,,,,,,,,,,,0.0,18.0,
case-cookus,Case Cookus,QB,,,,,,,1.0,,,,1.0,189.0,,,,,0.0,16.0,
chris-rowland,Chris Rowland,WR,,,,,,,,,,,,,,0.0,17.0,3.0,,,
corey-coleman,Corey Coleman,WR,,,,,,,,,,,,,,0.0,27.0,2.0,,,
dae-dae-hunter,Dae Dae Hunter,RB,,,,,,,,,,,,,,0.0,17.0,2.0,1.0,25.0,
deveon-smith,De\'Veon Smith,RB,,,,,,,,,,,,,,,,,0.0,7.0,
deontay-burnett,Deontay Burnett,WR,,,,,,,,,,,,,,0.0,9.0,1.0,,,
devin-gray,Devin Gray,WR,,,,,,,,,,,,,,0.0,61.0,8.0,,,
dexter-williams,Dexter Williams,RB/WR,,,,,,,,,,,,,,1.0,19.0,2.0,,12.0,
diondre-overton,Diondre Overton,WR,,,,,,,,,,,,,,0.0,22.0,3.0,,,
frank-darby,Frank Darby,WR,,,,,,,,,,,,,,0.0,26.0,2.0,,,
gamblers-dst,Gamblers DST,DST,,,,,,,,1.0,,,,,16.0,,,,,,6.0
gamblers-k,Gamblers K,K,,,,5.0,,,,,,1.0,,,,,,,,,
gamblers-qb,Gamblers QB,QB,,,,,,,0.0,,1.0,,2.0,251.0,,,,,0.0,53.0,
gary-jennings,Gary Jennings,WR,,,,,,,,,,,,,,0.0,4.0,1.0,0.0,4.0,
holton-ahlers,Holton Ahlers,QB,,,,,,,0.0,,,,0.0,0.0,,,,,,,
isaiah-winstead,Isaiah Winstead,WR,,1.0,,,,,,,,,,,,0.0,14.0,2.0,,,
javonta-payton,JaVonta Payton,WR,,1.0,,,,,,,,,,,,1.0,2.0,1.0,0.0,24.0,
jacob-saylors,Jacob Saylors,RB,,,,,,,,,,,,,,0.0,16.0,1.0,0.0,61.0,
jahcour-pearson,Jahcour Pearson,WR,,,,,,,,,1.0,,,,,0.0,10.0,1.0,,,
jake-sutherland,Jake Sutherland,TE/WR,,,,,,,,,,,,,,0.0,4.0,1.0,,,
jarveon-howard,Jarveon Howard,RB,,,,,,,,,,,,,,0.0,1.0,1.0,0.0,1.0,
jordan-suell,Jordan Suell,WR,,,,,,,,,,,,,,0.0,26.0,3.0,,,
josh-pederson,Josh Pederson,TE/WR/RB,,,,,,,,,,,,,,0.0,45.0,3.0,,,
justin-hall,Justin Hall,WR,,,,,,,,,,,,,,0.0,30.0,3.0,,,
kalen-ballage,Kalen Ballage,RB,,,,,,,,,,,,,,0.0,22.0,3.0,0.0,8.0,
keke-chism,Keke Chism,WR,,,,,,,,,,,,,,1.0,63.0,2.0,1.0,,
kenji-bahar,Kenji Bahar,QB,,,,,,,0.0,,1.0,,2.0,230.0,,,,,0.0,2.0,
kevin-thomson,Kevin Thomson,QB,,,,,,,0.0,,,,0.0,11.0,,,,,,,
lujuan-winningham,LuJuan Winningham,WR,,,,,,,,,,,,,,0.0,4.0,1.0,,,
luis-aguilar,Luis Aguilar,K,,,,1.0,42.0,,,,,,,,,,,,,,
luis-perez,Luis Perez,QB,,3.0,,,,,1.0,,,,1.0,149.0,,,,,0.0,8.0,
manny-wilkins,Manny Wilkins,QB,,,,,,,0.0,,1.0,,0.0,0.0,,,,,0.0,-4.0,
mark-thompson,Mark Thompson,RB,,,,,,,,,,,,,,0.0,8.0,1.0,3.0,134.0,
matt-colburn-ii,Matt Colburn II,RB/WR,,,,,,,,,,,,,,0.0,18.0,2.0,1.0,16.0,
max-duggan,Max Duggan,QB,,,,,,,2.0,,,,0.0,78.0,,,,,0.0,42.0,
nick-vogel,Nick Vogel,K,,,,5.0,,,,,,1.0,,,,,,,,,
pro-wells,Pro Wells,TE,,,,,,,,,,,,,,0.0,5.0,1.0,,,
renegades-dst,Renegades DST,DST,,,2.0,,,2.0,,2.0,,,,,9.0,,,,,,6.0
renegades-qb,Renegades QB,QB,,3.0,,,,,1.0,,,,1.0,149.0,,,,,0.0,8.0,
rodrigo-blankenship,Rodrigo Blankenship,K,,,,,139.0,,,,,,,,,,,,,,
ryan-izzo,Ryan Izzo,TE,,,,,,,,,,,,,,0.0,0.0,0.0,,,
sal-cannella,Sal Cannella,TE,,,,,,,,,,,,,,0.0,35.0,3.0,,,
samuel-akem,Samuel Akem,WR,,,,,,,,,,,,,,0.0,5.0,1.0,,,
seth-green,Seth Green,TE,,,,,,,,,,,,,,0.0,24.0,1.0,0.0,1.0,
shermari-jones,Shermari Jones,RB,,,,,,,,,,,,,,,16.0,2.0,,34.0,
stars-dst,Stars DST,DST,1.0,,,,,1.0,,0.0,,,,,41.0,,,,,,1.0
stars-k,Stars K,K,,,,1.0,42.0,,,,,,,,,,,,,,
stars-qb,Stars QB,QB,,,,,,,1.0,,,,1.0,200.0,,,,,0.0,16.0,
teo-redding,Teo Redding,WR,,,,,,,,,,,,,,0.0,34.0,2.0,,,
terry-wilson,Terry Wilson,QB,,,,,,,0.0,,,,0.0,21.0,,,,,0.0,52.0,
tyler-vaughns,Tyler Vaughns,WR,,1.0,,,,,,,,,,,,0.0,22.0,3.0,,,
