player_id,player_name,positions,blocked_punt,conversions,dst_touchdown,extra_point,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,missed,passing_tds,passing_yards,points_against,punt_return,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
aidan-robbins,Aidan Robbins,RB,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,8.0,
alize-mack,Alize Mack,TE,,,,,,,,,,,,,,,0.0,12.0,2.0,,,
bailey-gaither,Bailey Gaither,WR,,,,,,,,,,,,,,,0.0,15.0,2.0,1.0,8.0,
brahmas-dst,Brahmas DST,DST,1.0,,,,,2.0,,0.0,,,,,18.0,,,,,,,3.0
brahmas-k,Brahmas K,K,,,,,78.0,,,,,1.0,,,,,,,,,,
brahmas-qb,Brahmas QB,QB,,2.0,,,,,3.0,,,,0.0,90.0,,,,,,0.0,12.0,
case-cookus,Case Cookus,QB,,,,,,,1.0,,,,2.0,235.0,,,,,,0.0,28.0,
chris-blewitt,Chris Blewitt,K,,,,4.0,49.0,,,,,1.0,,,,,,,,,,
chris-pierce-jr,Chris Pierce Jr.,TE,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
corey-coleman,Corey Coleman,WR,,,,,,,,,,,,,,,1.0,75.0,4.0,,,
daewood-davis,Daewood Davis,WR,,1.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.0,
dee-anderson,Dee Anderson,WR,,,,,,,,,,,,,,,1.0,38.0,1.0,,,
deneric-prince,Deneric Prince,RB,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,45.0,
devin-gray,Devin Gray,WR,,,,,,,,,,,,,,,0.0,75.0,4.0,,,
diondre-overton,Diondre Overton,WR,,,,,,,,,,,,,,,0.0,6.0,2.0,,,
duane-gary,Duane Gary,RB/WR,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,6.0,
eli-stove,Eli Stove,WR,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
garrett-groshek,Garrett Groshek,RB,,,,,,,,,,,,,,,0.0,5.0,1.0,1.0,5.0,
isiah-hennie,Isiah Hennie,WR,,,,,,,,,,,,,,,1.0,22.0,2.0,,,
jaden-shirden,Jaden Shirden,RB,,,,,,,,,,,,,,,0.0,-1.0,1.0,0.0,2.0,
jalen-jackson,Jalen Jackson,RB,,,,,,,,,,,,,,,,,,1.0,76.0,
jalen-mccleskey,Jalen McCleskey,WR,,,,,,,,,,,,,,,0.0,17.0,1.0,,,
jashaun-corbin,Jashaun Corbin,RB,,1.0,,,,,,,,,,,,,0.0,38.0,5.0,1.0,143.0,
jay-jay-wilson,Jay Jay Wilson,TE,,,,,,,,,1.0,,,,,,0.0,14.0,1.0,,,
jonathan-adams,Jonathan Adams,WR,,1.0,,,,,,,,,,,,,0.0,11.0,2.0,,,
jontre-kirklin,Jontre Kirklin,WR,,1.0,,,,,,,,,,,,,0.0,8.0,1.0,,,
josh-simmons,Josh Simmons,WR,,,,,,,,,1.0,,,,,1.0,0.0,19.0,3.0,0.0,2.0,
kai-locksley-2,Kai Locksley,WR,,1.0,,,,,,,,,,,,,,,,,,
kevin-hogan,Kevin Hogan,QB,,2.0,,,,,3.0,,,,0.0,90.0,,,,,,0.0,12.0,
kwame-lassiter-ii,Kwame Lassiter II,WR,,,,,,,,,1.0,,,,,,0.0,11.0,1.0,,,
luis-aguilar,Luis Aguilar,K,,,,4.0,113.0,,,,,,,,,,,,,,,
madre-london,Madre London,RB,,,,,,,,,,,,,,,0.0,11.0,2.0,0.0,26.0,
marquez-stevenson,Marquez Stevenson,WR,,,,,,,,,,,,,,,0.0,13.0,1.0,,,
mason-stokke,Mason Stokke,FB/RB,,,,,,,,,,,,,,,0.0,34.0,3.0,,,
matt-coghlin,Matt Coghlin,K,,,,,72.0,,,,,,,,,,,,,,,
matt-colburn-ii,Matt Colburn II,RB/WR,,,,,,,,,,,,,,,0.0,13.0,2.0,2.0,82.0,
matt-seybert,Matt Seybert,TE,,,,,,,,,,,,,,,0.0,22.0,4.0,,,
maulers-dst,Maulers DST,DST,,,1.0,,,1.0,,1.0,,,,,37.0,,,,,,,1.0
maulers-k,Maulers K,K,,,,4.0,49.0,,,,,1.0,,,,,,,,,,
maulers-qb,Maulers QB,QB,,,,,,,1.0,,,,1.0,145.0,,,,,,0.0,44.0,
pro-wells,Pro Wells,TE,,,,,,,,,,,,,,,0.0,33.0,2.0,,,
ryan-izzo,Ryan Izzo,TE,,,,,,,,,,,,,,,0.0,22.0,1.0,,,
showboats-k,SHOWBOATS K,K,,,,,72.0,,,,,,,,,,,,,,,
showboats-qb,SHOWBOATS QB,QB,,3.0,,,,,0.0,,,,0.0,36.0,,,,,,0.0,29.0,
samuel-akem,Samuel Akem,WR,,,,,,,,,,,,,,,1.0,2.0,1.0,,,
showboats-dst,Showboats DST,DST,,,1.0,,,,,3.0,,,,,22.0,,,,,,,2.0
stars-dst,Stars DST,DST,,,,,,1.0,,1.0,,,,,25.0,,,,,,,5.0
stars-k,Stars K,K,,,,4.0,113.0,,,,,,,,,,,,,,,
stars-qb,Stars QB,QB,,,,,,,1.0,,,,2.0,235.0,,,,,,0.0,28.0,
steven-stilianos,Steven Stilianos,TE,,,,,,,,,,,1.0,38.0,,,0.0,10.0,3.0,,,
terry-wright,Terry Wright,WR,,,,,,,,,,,,,,,0.0,9.0,2.0,,,
tristan-vizcaino,Tristan Vizcaino,K,,,,,78.0,,,,,1.0,,,,,,,,,,
troy-williams,Troy Williams,QB,,3.0,,,,,1.0,,,,1.0,181.0,,,,,,0.0,73.0,
