player_id,player_name,positions,def_int,def_sack,def_solo,def_tot,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_p,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
alex-hoffman-ellis,Alex Hoffman-Ellis,LB,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andrew-harris,Andrew Harris,RB,,,1.0,1.0,,,,,,,,,,35.0,8.0,9.0,,84.0,120.0,,,,,,11.0,26.0,,105.0,,,,,,,,,,
brandyn-thompson,Brandyn Thompson,DB,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brian-walker,Brian Walker,DB,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bryant-mitchell,Bryant Mitchell,WR,,,,,,,,,,,,,,21.0,4.0,7.0,,2.0,44.0,,,,,,1.0,25.0,,25.0,,,,,,,,,,
cauchy-muamba,Cauchy Muamba,DB,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chris-edwards,Chris Edwards,DB/LB,,,3.0,3.0,,,,,,,,,,,,,,,,31.0,1.0,,,31.0,,,,,,,,,,,,,,
chris-getzlaf,Chris Getzlaf,WR,,,1.0,1.0,,,,,,,,,,10.0,1.0,4.0,,,10.0,,,,,,,,,,,,,,,,,,,
chris-randle,Chris Randle,DB,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
christophe-mulumba-tshimanga,Christophe Mulumba-Tshimanga,LB,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clarence-denmark,Clarence Denmark,WR,,,,,,,,,,,,,,17.0,4.0,6.0,,9.0,42.0,,,,,,,,,,,,,,,,,,,
cory-johnson,Cory Johnson,DT/DB,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cory-watson,Cory Watson,WR,,,,,,,,,,,,,,72.0,2.0,4.0,,75.0,80.0,,,,,,,,,,,,,,,,,,,
dhaquille-williams,D\'haquille Williams,WR,,,,,,,,,,,,,,41.0,4.0,7.0,1.0,11.0,110.0,,,,,,,,,,1.0,6.0,,1.0,,,,,,
dan-lefevour,Dan LeFevour,QB,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,3.0,2.0,1.0,5.0,,6.0,1.0,1.0,,,,,,
