player_id,player_name,positions,assists,blocks,callahans,catches,completions,drops,goals,hockeyAssists,hucksCompleted,pulls,throwAttempts,throwaways,yardsReceived,yardsThrown
aidan-lopez-escarez,Aidan Lopez-Escarez,P,,,,,,,,,,,,1.0,,
brandon-van-deusen,Brandon Van Deusen,P,3.0,1.0,,39.0,43.0,,2.0,4.0,1.0,,44.0,1.0,91.0,408.0
chris-cogswell,Chris Cogswell,P,,1.0,,2.0,2.0,1.0,,,,,2.0,,7.0,-5.0
chris-mazur,Chris Mazur,P,2.0,,,9.0,14.0,,,1.0,1.0,10.0,16.0,2.0,67.0,146.0
chris-roach,Chris Roach,P,1.0,,,,,1.0,,,,,,1.0,,
cy-toriello,Cy Toriello,P,,,,3.0,3.0,,,1.0,,,3.0,,57.0,12.0
devin-cox,Devin Cox,P,1.0,,,4.0,2.0,,1.0,,,,3.0,,21.0,26.0
dominic-jacobs,Dominic Jacobs,P,,,,,,,2.0,,,,,1.0,,
eddie-finley,Eddie Finley,P,,,,4.0,3.0,,1.0,1.0,,,3.0,,71.0,8.0
everest-shapiro,Everest Shapiro,P,2.0,,,16.0,12.0,,3.0,1.0,,,13.0,1.0,230.0,58.0
garrett-martin,Garrett Martin,P,,,,,,,,,,,,3.0,,
garrett-santi,Garrett Santi,P,,,,3.0,2.0,,,,,13.0,3.0,1.0,23.0,14.0
jack-brown,Jack Brown,P,1.0,,,,,1.0,,,1.0,,,,,
kenny-lane-iii,Kenny Lane III,P,,,,,,1.0,,,,,,,,
kota-sugahara,Kota Sugahara,P,,,,,,1.0,1.0,,1.0,,,,,
louie-bertoncin,Louie Bertoncin,P,,1.0,,,,,1.0,,,,,,,
lukas-ambrose,Lukas Ambrose,P,1.0,1.0,,5.0,6.0,,1.0,,,,6.0,,53.0,72.0
michael-kiyoi,Michael Kiyoi,P,3.0,,,23.0,19.0,,3.0,2.0,,,21.0,2.0,246.0,94.0
mitchell-steiner,Mitchell Steiner,P,,3.0,,5.0,5.0,,1.0,1.0,,,6.0,1.0,36.0,33.0
nate-kirchhofer,Nate Kirchhofer,P,,,,4.0,4.0,,,1.0,,,4.0,,23.0,32.0
nate-ransom,Nate Ransom,P,,,,3.0,5.0,,,,,,6.0,1.0,14.0,18.0
nate-wipfler,Nate Wipfler,P,,,,,,,,,,,,1.0,,
parker-howard,Parker Howard,P,3.0,1.0,,,,,,,1.0,,,2.0,,
pawel-janas,Pawel Janas,P,4.0,,,49.0,59.0,,2.0,2.0,,,60.0,1.0,113.0,352.0
sam-cook,Sam Cook,P,,,,18.0,16.0,,1.0,1.0,,,17.0,1.0,216.0,78.0
sean-mcdougall,Sean McDougall,P,1.0,1.0,,23.0,18.0,,4.0,5.0,1.0,,19.0,1.0,270.0,175.0
spencer-lofink,Spencer Lofink,P,,,,,,,1.0,,,,,,,
zac-schakner,Zac Schakner,P,1.0,1.0,1.0,6.0,6.0,,1.0,1.0,,,7.0,1.0,41.0,49.0
zeppelin-raunig,Zeppelin Raunig,P,2.0,1.0,,24.0,23.0,,2.0,2.0,3.0,,23.0,,306.0,279.0
