player_id,player_name,positions,extra_point,field_goal_yards,interceptions_lost,interceptions_made,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
aj-ouellette,A.J. OUELLETTE,RB,,,,,,,,,2.0,1.0,1.0,89.0,
brady-oliveira,Brady OLIVEIRA,RB,,,,,,,,0.0,30.0,5.0,1.0,24.0,
brett-lauther,Brett LAUTHER,K,2.0,34.0,,,,,,,,,,,
chris-streveler,Chris STREVELER,QB,,,,,,,,,,,0.0,1.0,
dalton-schoen,Dalton SCHOEN,WR,,,,,,,,1.0,58.0,5.0,,,
dhel-duncan-busby,Dhel Duncan-Busby,WR,,,,,,,,0.0,6.0,1.0,,,
dillon-mitchell,Dillon MITCHELL,WR,,,,,,,,0.0,28.0,3.0,,,
dohnte-meyers,Dohnte Meyers,WR,,,,,,,,0.0,52.0,3.0,,,
joe-robustelli,Joe Robustelli,WR,,,,,,,,0.0,20.0,2.0,,,
keesean-johnson,KeeSean Johnson,WR,,,,,,,,0.0,45.0,5.0,,,
keric-wheatfall,Keric Wheatfall,WR,,,,,,,,1.0,36.0,2.0,,,
kevens-clercius,Kevens Clercius,WR,,,,,,,,0.0,85.0,4.0,,,
mario-anderson,Mario Anderson,RB,,,,,,,,,,,2.0,34.0,
nic-demski,Nic DEMSKI,WR,,,,,,,,1.0,89.0,7.0,,,
ssk-dst,SSK DST,DST,,,,1.0,,,30.0,,,,,,5.0
ssk-k,SSK K,K,2.0,34.0,,,,,,,,,,,
ssk-qb,SSK QB,QB,,,0.0,,1.0,219.0,,,,,0.0,10.0,
sergio-castillo,Sergio CASTILLO,K,3.0,10.0,,,,,,,,,,,
tommy-nield,Tommy Nield,WR,,,,,,,,1.0,86.0,3.0,,,
tommy-stevens,Tommy STEVENS,QB,,,,,,,,,,,0.0,10.0,
trevor-harris,Trevor HARRIS,QB,,,0.0,,1.0,219.0,,,,,,,
wpg-dst,WPG DST,DST,,,,,,,34.0,,,,,,1.0
wpg-k,WPG K,K,3.0,10.0,,,,,,,,,,,
wpg-qb,WPG QB,QB,,,1.0,,3.0,326.0,,,,,0.0,3.0,
zach-collaros,Zach COLLAROS,QB,,,1.0,,3.0,326.0,,,,,0.0,2.0,
