player_id,player_name,positions,def_ast,def_sack,def_solo,def_tot,def_ydsl,recv_lg,recv_rec,recv_tar,recv_yds
earl-okine,Earl Okine,DL/DB/LB,1.0,1.0,4.0,5.0,1.0,,,,
jalin-marshall,Jalin Marshall,WR,,,,,,20.0,4.0,6.0,27.0
