player_id,player_name,positions,def_int,def_sack,def_solo,def_td,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_td,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_conv,score_ir,score_kr,score_p,score_pts,score_r,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
ac-leonard,A.C. Leonard,DB/DL,,1.0,2.0,,2.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amari-henderson,Amari Henderson,DB,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anthony-lanier,Anthony Lanier,DB,,3.0,3.0,,3.0,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antonio-simmons,Antonio Simmons,DE/DB,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brett-lauther,Brett LAUTHER,K,,,,,,,,,,,,,,,,,,,,,,76.0,5.0,5.0,187.0,1.0,317.0,,,,,,,,,6.0,,,2.0,1.0,57.0,5.0,2.0,2.0
brian-harelimana,Brian Harelimana,LB,,1.0,4.0,,4.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chandler-worthy,Chandler Worthy,WR,,,,,,,,,,,,,,,,,,1.0,,,,84.0,3.0,,,1.0,138.0,,,,,,,1.0,,6.0,,1.0,,,,,,
charbel-dabire,Charbel Dabire,DB/DL,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleston-hughes,Charleston Hughes,DB/DL,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cody-fajardo,Cody FAJARDO,QB,,,,,,,,29.0,18.0,,,21.0,2.0,2.0,224.0,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,6.0,1.0,1.0,,,,,,
dhaquille-williams,D\'haquille Williams,WR,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
darnell-sankey,Darnell Sankey,LB,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
david-côté,David Côté,K,,,,,,,,,,,,,,,,,,,,,,85.0,4.0,3.0,64.0,,285.0,,,,,,,,,8.0,,,2.0,2.0,38.0,8.0,2.0,2.0
