player_id,player_name,positions,interceptions_lost,interceptions_made,pass_defended,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
antoine-brooks,Antoine Brooks,DB/CB,,,,,,,,,,,,2.0
antwuan-jackson,Antwuan Jackson,DL/DT,,,,,,,,,,,,3.0
austin-faoliu,Austin Faoliu,DL/DT,,,,,,,,,,,,1.0
ben-dinucci,Ben DiNucci,QB,2.0,,,3.0,339.0,,,,1.0,41.0,,
blake-jackson,Blake Jackson,WR,,,,,,,44.0,5.0,,,,
brian-burt,Brian Burt,RB,,,,,,,,,,-4.0,,
cj-avery,C.J. Avery,LB,,,1.0,,,,,,,,,8.0
cam-sutton,Cam Sutton,TE,,,,,,,27.0,1.0,,,,
charlie-taumoepeau,Charlie Taumoepeau,TE,,,,,,,12.0,1.0,,44.0,,
dj-calhoun,D.J. Calhoun,LB,,,,,,,,,,,,2.0
damion-willis,Damion Willis,WR,,,,,,,4.0,1.0,,,,
daniel-joseph,Daniel Joseph,DL,,,,,,,,,,,1.0,5.0
deontay-anderson,Deontay Anderson,DB/SAF,,,2.0,,,,,,,,,4.0
elijah-ponder,Elijah Ponder,DL/LB,,,,,,,,,,,,1.0
geronimo-allison,Geronimo Allison,WR,,,,,,,10.0,2.0,,,,
jahsheem-martin,Jah\'Sheem Martin,DL,,,,,,,,,,,,3.0
jahcour-pearson,Jahcour Pearson,WR,,,,,,1.0,42.0,3.0,,,,
jalan-mcclendon,Jalan McClendon,QB,1.0,,,,201.0,,,,,9.0,,
john-lovett,John Lovett,RB,,,,,,,,,,30.0,,
jordan-veasy,Jordan Veasy,WR,,,,,,1.0,25.0,2.0,,,,
josh-gordon,Josh Gordon,WR,,,,,,,115.0,9.0,,,,
juwan-green,Juwan Green,WR,,,,,,1.0,88.0,4.0,,,,
keylon-kennedy,Keylon Kennedy,DB/CB,,,,,,,,,,,,9.0
laron-stokes,LaRon Stokes,DL/DT/DE,,,,,,,,,,,,2.0
mathew-sexton,Mathew Sexton,WR,,,,,,,119.0,2.0,,,,
maurice-smith,Maurice Smith,DB,,,1.0,,,,,,,,,7.0
mykael-wright,Mykael Wright,DB,,,1.0,,,,,,,,,3.0
niko-lalos,Niko Lalos,DL/DE,,,,,,,,,,,,5.0
phillip-lindsay,Phillip Lindsay,RB,,,,,,,,,,30.0,,
pita-taumoepenu,Pita Taumoepenu,LB/OLB,,,,,,,,,,,,1.0
qwynnterrio-cole,Qwynnterrio Cole,DB/FS,,1.0,1.0,,,,,,,,,1.0
sea-dragons-dst,Sea Dragons DST,DST,,1.0,,,,,,,,,2.0,
sea-dragons-qb,Sea Dragons QB,QB,2.0,,,3.0,339.0,,,,1.0,41.0,,
tj-hammonds-2,T.J. Hammonds,WR,,,,,,,9.0,1.0,,12.0,,
travis-koontz,Travis Koontz,TE,,,,,,,45.0,1.0,,,,
tre-walker-2,Tre Walker,LB,,,,,,,,,,,,4.0
tuzar-skipper,Tuzar Skipper,LB/OLB,,,,,,,,,,,1.0,2.0
vipers-qb,Vipers QB,QB,1.0,,,,201.0,,,,,9.0,,
will-adams,Will Adams,DB/FS,,,,,,,,,,,,5.0
