player_id,player_name,positions,def_int,def_lg,def_sack,def_solo,def_tot,def_yds,def_ydsl,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,rush_att,rush_lg,rush_yds,score_conv,score_p,score_pts,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
rakim-cox,Rakim Cox,DE/DB,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ricky-ray-rayri02,Ricky Ray Rayri02,,,,,,,,,39.0,29.0,1.0,32.0,,,2.0,341.0,,,,,,,,,,,,1.0,5.0,5.0,,,,,,,,,,
rico-murray,Rico Murray,LB/DB,,,1.0,6.0,6.0,,3.0,,,,,,,,,,,,,,,3.0,1.0,,,3.0,,,,,,,,,,,,,
rob-bagg,Rob Bagg,WR,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
sj-green,S.J. Green,WR,,,,,,,,,,,,,,,,23.0,5.0,7.0,1.0,7.0,76.0,,,,,,,,,,1.0,6.0,1.0,,,,,,
samuel-eguavoen,Samuel Eguavoen,LB,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
terrance-plummer,Terrance Plummer,LB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tobi-antigha,Tobi Antigha,LB/DB,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trent-richardson,Trent Richardson,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,20.0,,,,,,,,,,
tyler-crapigna,Tyler Crapigna,K,,,,,,,,,,,,,,,,,,,,,,73.0,6.0,6.0,108.0,370.0,,,,,,13.0,,4.0,4.0,34.0,13.0,1.0,1.0
victor-butler,Victor Butler,DE/DB,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
willie-jefferson,Willie Jefferson,DL/DE/DB,,,,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
