player_id,player_name,positions,assisted_tackles,blocks,fg_attempts,field_goal_long,field_goals_made,forced_fumbles,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,interceptions,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,pass_attempts,pass_completions,pass_defended,pass_long,passing_tds,passing_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sack_yards,sacks,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
alphonso-taylor,Alphonso Taylor,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,6.0,,,,
axel-perez,Axel Perez,K,,,3.0,21.0,1.0,,,,,,,,7.0,36.3,0.0,1.0,145.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0
caleb-ramseur,Caleb Ramseur,RB,,,,,,,,,,,,1.0,,,,,,,17.0,17.0,0.0,17.0,,,,,,,13.0,19.0,0.0,39.0,3.0,2.6,6.0,16.0,1.0,41.0,,,,,,,,
cassian-foreman,Cassian Foreman,WR,,,,,,,,,1.0,1.0,,2.0,,,,,,,4.0,8.0,0.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,
chris-rice,Chris Rice,DL,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,4.0,7.0,1.0,0.0,,
clay-fields-iii,Clay Fields III,CB,1.0,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,3.0,4.0,,,,
devonta-davis,Devonta Davis,DT,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,,,,
dylan-brown,Dylan Brown,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
geemontae-peck,Geemontae Peck,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.5,3.0,7.0,0.5,0.0,,
jaedon-stoshak,Jaedon Stoshak,WR,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,11.8,14.0,1.0,47.0,4.0,,,,,,,,0.0,0.0,,,,
jalen-williams,Jalen Williams,,2.0,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,1.0,0.0,,
jerminic-smith-sr,Jerminic Smith Sr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,14.0,0.0,20.0,2.0,,,,,,,,,,,,,
jimmie-robinson-jr,Jimmie Robinson Jr.,RB/WR,,,,,,,,,,,,1.0,,,,,,,7.0,7.0,0.0,7.0,,,,,,,7.8,14.0,0.0,31.0,4.0,3.3,16.0,12.0,2.0,39.0,,,,,,,,
john-huggins,John Huggins,,5.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,3.0,8.0,,,,
john-mcmullen,John McMullen,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
justin-harrington,Justin Harrington,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
ketron-jackson-jr,Ketron Jackson Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,7.0,1.0,11.0,2.0,,,,,,,,,,,,,
marc-orozco,MARC OROZCO,K,,,2.0,0.0,0.0,,,,,,,,2.0,44.2,0.0,0.0,221.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0
marquel-wade,MARQUEL WADE,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,0.0,10.0,1.0,10.0,10.0,1.0,0.0,10.0,,,,,,,,
marcus-rogers,Marcus Rogers,WR,1.0,,,,,,,,,,,1.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,8.0,8.0,0.0,8.0,1.0,,,,,,,,0.0,1.0,,,,
michael-moore,Michael Moore,,3.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.5,1.0,4.0,0.5,0.0,,
nusi-malani,Nusi Malani,,1.0,1.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,1.0,0.0,,
redd-douglas,Redd Douglas,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,24.0,0.0,24.0,1.0,,,,,,,,,,,,,
robert-jones-iii,Robert Jones III,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,2.0,,,,
rudy-silvera,Rudy Silvera,,0.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,3.0,3.0,,,,
sammy-edwards,Sammy Edwards,QB,0.0,,,,,,,,,,0.0,,,,,,,,,,,,20.0,11.0,,24.0,1.0,129.0,,,,,,6.9,27.0,9.0,1.0,62.0,,,1.0,1.0,,,,
steven-parker,Steven Parker,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,,
tj-davis,TJ DAVIS,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,32.0,0.0,62.0,4.0,7.0,7.0,1.0,0.0,7.0,,,,,,,,
tj-edwards-ii,TJ Edwards II,QB,,,,,,,,,1.0,1.0,0.0,,,,,,,,,,,,22.0,11.0,,32.0,1.0,132.0,,,,,,2.8,15.0,9.0,2.0,25.0,,,,,,,,
tariq-bracy,Tariq Bracy,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,8.0,,,,
tenilyas-tatum,Tenilyas Tatum,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,,,,
